Date,Open,High,Low,Close,Volume
2017-07-17,75.0,75.0,70.0,70.0,33982
2017-07-18,70.5,72.0,69.92,70.0,35719
2017-07-19,67.92,69.51,67.8,68.95,1805
2017-07-20,69.75,70.0,69.0,69.0,28390
2017-07-21,70.0,70.0,68.56,68.92,1562
2017-07-24,69.0,69.29,69.0,69.0,4650
2017-07-25,69.15,69.15,68.95,69.08,1362
2017-07-26,,,,69.08,0
2017-07-27,69.25,69.25,68.0,68.0,12970
2017-07-28,67.26,67.26,67.26,67.26,101
2017-07-31,67.7,67.7,65.28,66.0,19079
2017-08-01,66.65,66.86,66.23,66.25,26784
2017-08-02,65.98,66.06,64.83,64.89,112432
2017-08-03,65.0,65.5,63.5,64.0,34296
2017-08-04,64.94,65.05,64.44,64.57,335368
2017-08-07,62.75,62.85,60.58,61.72,11208105
2017-08-08,61.06,61.5,56.59,56.9,4124459
2017-08-09,56.01,57.12,54.94,56.72,4514392
