Date,Open,High,Low,Close,Volume
2017-01-03,223.49,225.64,219.5,223.33,752929
2017-01-04,223.24,227.68,222.81,226.36,664936
2017-01-05,226.15,229.64,225.11,226.52,649765
2017-01-06,226.08,226.24,219.53,219.84,818360
2017-01-09,219.88,221.6,218.5,219.36,643739
2017-01-10,220.07,222.47,219.24,220.56,587951
2017-01-11,221.64,222.24,219.79,221.95,415827
2017-01-12,222.14,222.5,216.8,219.92,611699
2017-01-13,219.62,221.61,219.05,220.67,478796
2017-01-17,220.95,220.95,217.11,219.86,635397
2017-01-18,220.15,225.89,219.4,225.36,622901
2017-01-19,225.93,227.32,225.02,225.76,727553
2017-01-20,227.12,229.15,226.48,227.75,612657
2017-01-23,228.6,229.86,225.51,227.36,607310
2017-01-24,229.2,235.57,228.39,234.5,727481
2017-01-25,237.57,243.29,237.56,242.0,1432844
2017-01-26,242.02,243.98,239.83,241.62,796069
2017-01-27,242.57,242.74,238.73,239.78,420399
2017-01-30,238.0,238.0,233.28,235.31,606820
2017-01-31,234.89,236.69,226.74,229.6,1151143
2017-02-01,231.29,232.23,228.55,230.5,649322
2017-02-02,229.48,230.37,227.06,228.59,602927
2017-02-03,229.86,233.33,228.61,230.91,491136
2017-02-06,230.86,231.56,229.69,230.58,524170
2017-02-07,223.87,229.0,221.33,226.62,1086699
2017-02-08,226.62,228.65,223.33,226.25,500439
2017-02-09,227.0,227.33,224.85,225.32,520109
2017-02-10,226.89,231.16,226.45,230.32,519689
2017-02-13,232.66,234.43,230.03,231.39,664374
2017-02-14,226.62,229.11,221.36,226.41,1557078
2017-02-15,224.65,226.29,219.96,222.0,1739565
2017-02-16,221.95,222.72,220.0,221.53,772553
2017-02-17,220.82,221.0,215.26,217.55,835054
2017-02-21,218.25,221.69,218.05,219.98,727138
2017-02-22,219.89,221.37,218.72,218.94,749239
2017-02-23,219.7,220.25,206.34,208.68,1913454
2017-02-24,207.08,211.32,206.1,210.05,985751
2017-02-27,210.49,219.7,208.95,215.26,825399
2017-02-28,215.65,219.33,213.92,215.95,1167833
2017-03-01,223.02,224.98,219.83,222.27,1166911
2017-03-02,221.91,221.97,217.6,219.02,710919
2017-03-03,218.91,221.85,215.95,217.69,677526
2017-03-06,215.93,217.7,213.58,214.68,754045
2017-03-07,214.52,214.96,209.0,209.93,839170
2017-03-08,209.59,212.28,209.59,210.85,577163
2017-03-09,210.41,212.89,205.86,208.16,610832
2017-03-10,209.37,213.14,208.59,212.81,708009
2017-03-13,212.36,215.17,211.75,214.93,567395
2017-03-14,212.91,213.5,209.31,211.67,500646
2017-03-15,212.45,215.22,209.63,214.02,553465
2017-03-16,214.52,214.63,209.19,210.37,658087
2017-03-17,211.0,213.13,209.6,211.95,572326
2017-03-20,212.03,212.03,209.5,211.11,365046
2017-03-21,212.08,212.6,207.59,209.09,526301
2017-03-22,208.5,213.09,207.0,212.54,715596
2017-03-23,212.38,214.67,210.19,213.49,672157
2017-03-24,213.15,213.24,206.49,207.24,812123
2017-03-27,203.84,208.22,201.77,207.04,718870
2017-03-28,206.5,212.03,206.5,209.92,767976
2017-03-29,211.15,214.73,210.0,214.27,591755
2017-03-30,213.66,216.79,210.94,211.56,705983
2017-03-31,214.0,219.07,213.08,218.25,927580
2017-04-03,218.2,218.63,212.79,214.43,634271
2017-04-04,214.3,216.13,212.65,216.01,450333
2017-04-05,216.4,218.98,214.64,214.98,833158
2017-04-06,214.84,218.36,214.1,218.21,848411
2017-04-07,218.7,223.55,218.7,221.41,874186
2017-04-10,221.54,222.03,219.55,220.31,398016
2017-04-11,219.84,220.21,214.07,219.59,533834
2017-04-12,218.8,218.8,211.75,212.79,786345
2017-04-13,212.31,213.31,210.09,210.11,496345
2017-04-17,210.57,212.85,210.16,212.69,456585
2017-04-18,211.07,213.17,209.43,210.73,310113
2017-04-19,211.75,213.87,210.73,211.16,484320
2017-04-20,212.63,218.84,211.97,217.29,474467
2017-04-21,217.58,219.99,216.45,218.89,561114
2017-04-24,221.48,223.57,218.91,222.81,553729
2017-04-25,224.04,224.82,222.07,223.5,655722
2017-04-26,223.55,223.81,220.8,221.15,487773
2017-04-27,221.0,223.99,218.87,223.35,528997
2017-04-28,223.15,223.89,219.79,220.19,542334
2017-05-01,221.51,226.47,219.91,222.87,989002
2017-05-02,232.18,243.39,231.0,239.85,1761172
2017-05-03,238.4,244.32,237.11,238.97,744235
2017-05-04,239.24,242.46,236.95,237.0,924157
2017-05-05,238.43,238.52,235.5,237.55,456300
2017-05-08,236.86,236.86,233.24,234.29,388974
2017-05-09,234.66,237.0,232.85,233.84,412726
2017-05-10,235.74,239.13,233.79,234.28,788716
2017-05-11,233.61,234.46,228.66,233.76,581546
2017-05-12,232.26,233.27,229.94,230.54,405888
2017-05-15,231.34,235.42,230.57,235.19,502681
2017-05-16,235.19,235.63,232.03,233.03,431668
2017-05-17,229.35,229.35,223.86,224.77,984246
2017-05-18,223.51,230.08,221.43,229.28,773488
2017-05-19,230.38,232.16,228.06,228.39,472633
2017-05-22,229.3,232.41,229.0,231.77,440600
2017-05-23,232.05,233.69,229.72,231.06,398037
2017-05-24,230.86,232.18,225.28,227.41,501341
2017-05-25,228.29,231.11,227.97,229.53,382255
2017-05-26,228.69,229.31,226.75,227.76,336255
2017-05-30,226.29,228.52,224.67,226.72,440397
2017-05-31,226.75,226.84,223.01,224.1,623740
2017-06-01,224.17,228.97,222.35,227.96,548592
2017-06-02,228.07,229.65,226.1,226.55,367303
2017-06-05,226.33,228.25,226.02,227.68,342843
2017-06-06,227.04,229.24,225.35,225.67,416168
2017-06-07,225.91,229.98,225.91,227.53,446142
2017-06-08,228.1,235.08,226.06,232.11,630524
2017-06-09,233.11,235.96,232.12,234.82,478409
2017-06-12,233.62,234.7,229.62,232.11,360848
2017-06-13,232.65,236.43,232.49,235.58,355033
2017-06-14,235.58,236.85,229.14,230.92,397066
2017-06-15,227.57,229.84,226.96,229.42,243433
