Date,Open,High,Low,Close,Volume
2017-01-03,40.87,41.31,40.51,40.91,2513496
2017-01-04,40.98,42.36,40.94,42.14,3459658
2017-01-05,41.68,41.75,40.81,41.16,2291538
2017-01-06,41.34,41.36,40.58,40.61,1399711
2017-01-09,40.8,40.99,40.17,40.44,1505378
2017-01-10,40.43,40.95,40.4,40.75,2155028
2017-01-11,40.74,40.88,40.33,40.6,1342557
2017-01-12,40.57,41.02,40.39,40.89,1444838
2017-01-13,40.78,41.21,40.78,40.92,1601190
2017-01-17,40.99,41.98,40.95,41.14,1898882
2017-01-18,41.22,41.31,40.2,41.09,2192485
2017-01-19,40.97,41.09,40.5,40.89,2160146
2017-01-20,40.81,41.24,40.53,40.68,1749953
2017-01-23,40.57,40.65,39.85,39.97,2767667
2017-01-24,40.12,40.56,40.0,40.21,2042074
2017-01-25,40.38,40.78,40.32,40.53,2045544
2017-01-26,40.56,40.75,40.36,40.4,1259290
2017-01-27,40.54,40.68,39.66,39.74,1195203
2017-01-30,39.67,40.15,39.4,40.0,1481718
2017-01-31,39.78,40.49,39.61,40.35,2187587
2017-02-01,40.57,40.57,39.76,39.79,1889846
2017-02-02,39.76,40.17,39.46,40.04,1904119
2017-02-03,40.19,40.45,39.94,40.07,2129853
2017-02-06,40.09,40.53,39.6,39.66,1885840
2017-02-07,39.73,39.81,39.09,39.26,1872766
2017-02-08,39.25,39.77,39.23,39.53,1890529
2017-02-09,39.63,40.83,39.58,40.33,5198631
2017-02-10,40.41,40.67,39.76,40.25,1884092
2017-02-13,40.5,40.5,39.92,40.16,1649095
2017-02-14,40.23,41.25,40.23,41.02,1652413
2017-02-15,41.02,41.44,40.91,41.28,1708016
2017-02-16,41.24,41.47,40.72,40.88,1792159
2017-02-17,40.73,41.18,40.52,41.14,1287886
2017-02-21,41.31,41.79,41.2,41.46,1880288
2017-02-22,41.57,41.6,40.97,41.14,1270260
2017-02-23,41.13,41.34,40.33,40.4,1652445
2017-02-24,40.34,41.32,40.2,41.04,2002457
2017-02-27,41.21,41.96,41.17,41.9,1793412
2017-02-28,41.74,41.74,40.11,40.4,3085212
2017-03-01,40.85,41.15,40.3,40.72,1769394
2017-03-02,40.73,41.11,40.53,40.61,2255492
2017-03-03,40.67,40.97,39.99,40.24,1547503
2017-03-06,40.1,40.24,39.48,39.64,1504392
2017-03-07,39.46,39.7,38.58,39.01,2906583
2017-03-08,39.06,39.78,39.02,39.64,2532946
2017-03-09,39.63,39.88,39.35,39.44,1243566
2017-03-10,39.59,40.04,39.41,39.77,1232162
2017-03-13,39.81,39.97,39.36,39.52,1802898
2017-03-14,38.98,39.8,38.98,39.48,1602176
