Date,Open,High,Low,Close,Volume
2017-01-03,183.46,184.56,181.63,182.93,655034
2017-01-04,183.84,186.88,182.97,185.42,633327
2017-01-05,185.42,187.93,184.03,185.98,883032
2017-01-06,186.45,186.9,184.68,186.1,632919
2017-01-09,186.31,186.45,181.48,181.61,756959
2017-01-10,182.11,184.38,181.28,183.82,654170
2017-01-11,184.48,185.0,181.48,183.05,730077
2017-01-12,182.12,184.42,179.74,183.86,695448
2017-01-13,184.58,185.98,183.8,184.77,690728
2017-01-17,184.81,186.87,184.12,185.44,658917
2017-01-18,186.09,186.32,183.49,186.01,524888
2017-01-19,186.0,186.66,184.44,185.23,573569
2017-01-20,185.02,187.05,184.13,185.62,600108
2017-01-23,185.8,187.38,185.0,186.99,692922
2017-01-24,187.82,190.85,186.61,188.92,1128873
2017-01-25,190.38,192.0,189.01,190.2,1327384
2017-01-26,180.0,181.87,171.74,173.94,4500266
2017-01-27,172.99,173.81,168.18,170.85,2153053
2017-01-30,169.96,174.99,169.2,174.91,1222285
2017-01-31,174.63,175.12,173.13,174.89,775163
2017-02-01,175.65,176.04,173.75,173.94,695341
2017-02-02,173.59,174.0,170.17,171.5,921744
2017-02-03,172.35,174.55,171.74,173.61,551074
2017-02-06,173.01,173.76,171.41,172.57,585450
2017-02-07,173.83,175.65,172.94,173.4,739846
2017-02-08,172.85,174.22,171.17,173.94,802805
2017-02-09,173.28,175.25,172.3,174.07,528619
2017-02-10,174.37,175.43,173.32,174.48,644999
2017-02-13,174.57,176.19,174.57,175.42,590453
2017-02-14,174.76,175.98,173.83,174.87,499430
2017-02-15,174.84,177.69,174.69,177.05,715990
2017-02-16,177.23,178.19,175.84,176.69,604279
2017-02-17,176.44,177.51,175.68,177.19,408728
2017-02-21,175.14,180.99,175.14,179.62,735171
2017-02-22,179.67,181.06,178.94,180.87,677416
2017-02-23,181.99,182.49,179.29,180.72,773247
2017-02-24,179.69,180.67,178.03,180.16,712246
2017-02-27,180.31,181.0,178.72,179.0,860342
2017-02-28,179.0,179.17,176.86,178.59,600256
2017-03-01,178.14,178.96,177.56,178.03,969036
2017-03-02,178.24,178.67,177.26,177.8,430950
2017-03-03,178.02,178.99,176.71,177.89,424969
2017-03-06,176.47,177.77,175.33,175.75,449310
2017-03-07,175.59,176.88,174.22,175.38,484160
2017-03-08,175.89,176.77,174.96,176.04,723862
2017-03-09,175.75,177.12,175.13,176.4,559919
2017-03-10,177.31,179.69,176.81,177.75,788623
2017-03-13,178.0,179.55,176.63,178.22,867988
2017-03-14,177.66,179.26,177.22,178.79,426804
2017-03-15,179.18,180.11,176.73,177.47,937571
2017-03-16,176.97,177.97,172.07,172.69,1156255
2017-03-17,172.83,173.01,171.29,172.71,1191036
2017-03-20,172.55,173.1,171.84,172.8,606196
2017-03-21,173.91,174.0,171.41,172.01,841387
2017-03-22,171.87,172.32,169.79,170.32,827055
2017-03-23,170.14,172.15,169.1,170.22,997960
2017-03-24,170.65,171.6,169.4,170.0,527792
2017-03-27,169.0,170.26,168.14,169.86,596781
2017-03-28,169.8,170.48,168.37,169.85,559415
2017-03-29,170.01,171.53,169.54,171.08,378834
2017-03-30,170.76,171.79,169.51,170.15,467541
2017-03-31,170.29,171.71,169.75,171.33,526916
2017-04-03,171.83,172.12,169.15,170.72,552305
2017-04-04,170.09,170.9,164.81,165.61,1188856
2017-04-05,165.6,167.45,164.97,165.6,1255399
2017-04-06,165.06,169.14,165.06,167.17,710532
2017-04-07,166.68,167.58,166.25,167.03,399667
2017-04-10,167.76,169.24,167.53,167.6,629817
2017-04-11,167.28,168.41,166.75,168.3,385964
2017-04-12,168.66,169.83,167.27,168.27,683532
2017-04-13,167.98,170.18,167.44,169.44,712761
2017-04-17,169.63,171.44,167.5,168.95,1273878
2017-04-18,168.63,169.05,166.69,168.14,1023200
2017-04-19,168.75,171.08,168.71,170.14,911571
2017-04-20,170.34,172.52,169.89,171.64,901635
2017-04-21,171.49,171.84,169.39,171.51,991112
2017-04-24,173.96,176.82,172.9,174.8,1550866
2017-04-25,177.73,182.94,177.48,180.94,3659915
2017-04-26,181.52,186.29,180.88,185.12,1597398
2017-04-27,185.0,186.62,183.95,185.86,783712
2017-04-28,185.87,185.94,183.86,185.68,970456
2017-05-01,185.67,187.2,185.6,185.91,700380
2017-05-02,185.9,188.31,185.51,187.66,862093
2017-05-03,187.45,189.23,186.33,187.15,897228
2017-05-04,187.49,188.28,183.72,183.93,998621
2017-05-05,183.83,185.38,183.48,185.14,568276
2017-05-08,185.56,185.98,183.48,183.68,578887
2017-05-09,183.63,185.07,183.38,184.5,597213
2017-05-10,184.4,185.36,183.5,185.25,566121
2017-05-11,185.16,186.08,182.88,185.65,449143
2017-05-12,185.07,185.1,182.84,183.19,597973
2017-05-15,184.03,188.79,183.05,187.83,1377021
2017-05-16,188.35,188.76,184.94,186.94,636144
2017-05-17,184.9,185.91,182.1,182.28,773494
2017-05-18,175.48,178.8,172.97,177.2,1382630
2017-05-19,177.68,180.45,176.61,179.08,793591
2017-05-22,180.08,181.69,179.22,180.13,516671
2017-05-23,180.49,181.14,180.05,180.78,414588
2017-05-24,180.7,181.0,179.49,179.98,457026
2017-05-25,179.97,182.28,179.04,180.4,542650
2017-05-26,180.72,180.79,178.76,179.13,578151
2017-05-30,179.35,183.88,178.74,183.2,761864
2017-05-31,183.23,185.82,182.68,185.54,755910
2017-06-01,185.57,188.77,185.18,187.81,782664
2017-06-02,188.21,190.92,187.09,189.89,614356
2017-06-05,190.0,194.97,189.06,191.86,1164402
2017-06-06,191.73,192.78,188.85,188.91,678232
2017-06-07,188.94,190.04,187.92,189.17,540625
2017-06-08,189.15,190.0,187.99,189.09,509067
2017-06-09,188.81,191.85,188.19,190.98,501509
2017-06-12,191.15,191.84,188.21,190.61,640512
2017-06-13,191.67,194.52,190.37,193.9,694200
2017-06-14,193.96,202.99,193.2,196.54,1330817
2017-06-15,195.14,196.88,194.06,196.24,767308
2017-06-16,195.83,196.33,194.59,195.87,645943
2017-06-19,196.75,198.25,196.08,196.87,566365
2017-06-20,197.42,199.94,194.32,194.56,1169546
2017-06-21,194.92,195.38,192.26,193.81,565528
2017-06-22,194.25,195.75,193.09,195.16,465916
2017-06-23,194.63,194.63,186.52,188.68,1564959
2017-06-26,189.11,191.93,188.92,190.72,780858
2017-06-27,190.84,191.93,188.04,188.52,618957
2017-06-28,189.92,190.3,188.23,188.54,598829
2017-06-29,188.84,189.79,186.51,188.04,653294
2017-06-30,188.27,192.49,188.27,191.62,744840
2017-07-03,191.92,193.03,190.79,191.97,397151
2017-07-05,192.64,194.19,192.64,193.21,416850
2017-07-06,192.28,193.27,188.82,189.7,518504
2017-07-07,190.51,192.91,188.65,192.11,426179
2017-07-10,192.5,193.86,191.85,192.83,368661
2017-07-11,192.84,193.02,189.75,191.25,421960
2017-07-12,192.53,194.08,192.11,192.26,540678
2017-07-13,192.78,193.79,191.66,192.25,652759
