Date,Open,High,Low,Close,Volume
2017-01-03,54.51,54.97,53.6,54.28,5612991
2017-01-04,54.33,54.95,54.16,54.58,6839013
2017-01-05,54.33,54.61,53.19,53.83,5832325
2017-01-06,54.11,54.58,53.95,54.18,3966200
2017-01-09,53.93,54.7,53.63,53.7,6954629
2017-01-10,53.78,54.53,53.35,53.93,9190903
2017-01-11,54.21,54.65,53.67,54.43,6244847
2017-01-12,54.05,54.09,53.07,53.91,4926275
2017-01-13,54.3,54.78,54.14,54.31,5213456
2017-01-17,53.84,54.04,53.3,53.55,5371948
2017-01-18,53.69,54.08,53.05,54.06,5236366
2017-01-19,54.26,54.42,53.63,54.02,4851418
2017-01-20,54.22,54.72,53.93,54.33,5586628
2017-01-23,54.47,54.7,53.86,54.1,4556852
2017-01-24,54.36,55.39,54.36,54.91,4201453
2017-01-25,55.43,56.25,55.4,56.15,5548798
2017-01-26,55.58,56.36,55.5,56.03,5066756
2017-01-27,55.77,55.94,55.37,55.61,5007495
2017-01-30,55.24,55.24,54.18,54.9,5317491
2017-01-31,54.72,55.16,53.81,54.41,5144517
2017-02-01,55.11,55.3,54.01,54.32,7882348
2017-02-02,52.12,52.49,50.35,51.46,15661341
2017-02-03,52.35,52.47,51.57,51.77,10456512
2017-02-06,51.22,52.19,51.22,51.88,5885588
2017-02-07,52.17,52.38,51.67,51.68,5642349
2017-02-08,51.51,51.64,51.09,51.39,6310457
2017-02-09,51.73,52.88,51.63,52.58,5909686
2017-02-10,52.9,53.3,52.66,52.91,4998238
2017-02-13,53.33,54.11,53.33,53.5,4940116
2017-02-14,53.3,54.09,53.18,53.88,4936590
2017-02-15,54.09,54.15,53.57,53.93,6785537
2017-02-16,53.93,54.19,53.54,53.65,7509080
2017-02-17,53.21,53.35,52.67,52.97,7975887
2017-02-21,53.4,53.7,53.13,53.35,5717407
2017-02-22,52.97,53.69,52.93,53.48,5460877
2017-02-23,53.58,53.72,53.27,53.56,5594394
2017-02-24,52.81,53.03,52.4,52.49,6718392
2017-02-27,52.65,52.8,52.42,52.66,7325699
2017-02-28,52.44,52.74,52.25,52.44,7491977
2017-03-01,53.39,54.84,53.3,54.33,10909438
2017-03-02,54.39,54.55,53.35,53.43,6564076
2017-03-03,53.67,55.06,53.62,54.83,8365972
2017-03-06,53.63,54.24,53.44,53.93,6571912
2017-03-07,53.72,53.81,53.16,53.35,5285531
2017-03-08,53.94,54.27,53.42,53.46,5312105
2017-03-09,53.63,54.0,53.42,53.62,5026814
2017-03-10,53.93,54.26,53.69,54.02,5302152
2017-03-13,54.03,54.4,53.88,54.16,5358646
2017-03-14,53.85,53.97,53.41,53.89,3865190
2017-03-15,54.09,54.18,53.42,53.68,5908746
2017-03-16,53.75,54.33,53.73,54.02,4891835
2017-03-17,54.21,54.21,53.12,53.36,6909679
2017-03-20,53.19,53.43,52.87,53.13,3934540
2017-03-21,53.43,53.55,51.81,51.92,6332712
2017-03-22,51.34,52.04,50.88,51.77,5288684
2017-03-23,51.6,52.65,51.38,52.05,5034991
2017-03-24,52.24,52.72,51.66,52.01,4987576
2017-03-27,50.89,51.79,50.25,51.69,6254885
2017-03-28,51.4,52.83,51.34,52.48,5252216
2017-03-29,52.27,52.64,52.05,52.18,4899323
2017-03-30,52.17,53.43,52.11,53.12,6826078
2017-03-31,52.9,53.17,52.79,52.82,4519142
2017-04-03,52.9,53.08,51.58,52.4,5253820
2017-04-04,52.29,52.45,51.88,52.32,4983890
2017-04-05,52.72,53.02,51.83,51.9,4891153
2017-04-06,51.91,52.82,51.55,52.67,6307530
2017-04-07,52.21,52.91,51.97,52.61,6548103
2017-04-10,52.6,53.19,52.5,52.79,5215948
2017-04-11,52.43,52.84,52.02,52.77,4536582
2017-04-12,52.49,52.62,51.72,51.97,4524688
2017-04-13,51.69,52.06,51.08,51.12,6518576
2017-04-17,51.26,52.05,51.09,51.9,5612262
2017-04-18,51.39,51.56,50.75,51.19,6369530
2017-04-19,51.56,51.92,51.0,51.16,5341141
2017-04-20,51.52,52.0,51.24,51.78,4468401
2017-04-21,51.64,51.85,51.19,51.27,7470012
2017-04-24,52.44,52.77,51.92,52.02,7096758
2017-04-25,52.5,53.0,52.35,52.37,7326085
2017-04-26,52.37,52.65,51.81,51.89,7364299
2017-04-27,52.01,52.35,51.72,52.14,5616235
2017-04-28,52.09,52.24,51.77,51.81,5635613
2017-05-01,52.03,52.19,51.67,51.97,5485294
2017-05-02,52.03,52.16,51.73,52.02,4549130
2017-05-03,51.74,52.32,51.71,52.1,5924295
2017-05-04,52.75,53.64,52.36,52.65,8646515
2017-05-05,52.87,52.96,52.23,52.62,4753812
2017-05-08,52.53,53.13,52.49,53.06,6923718
2017-05-09,53.14,53.25,52.23,52.31,4757254
2017-05-10,52.07,52.36,51.97,52.21,5164565
2017-05-11,51.97,52.36,51.55,51.61,4956496
2017-05-12,51.24,51.47,50.81,50.92,4629900
2017-05-15,51.05,51.91,50.97,51.79,4616244
2017-05-16,51.85,52.07,51.56,51.85,3378634
