Date,Open,High,Low,Close,Volume
2017-01-03,53.47,53.47,52.54,53.1,1729292
2017-01-04,53.04,53.61,52.88,53.15,1547627
2017-01-05,53.0,53.14,52.67,53.03,891125
2017-01-06,53.0,53.29,52.65,53.13,882785
2017-01-09,53.2,53.31,52.91,53.04,1195505
2017-01-10,53.03,53.31,52.75,52.87,1440798
2017-01-11,52.9,53.7,52.78,53.67,895849
2017-01-12,53.43,53.69,53.27,53.53,743674
2017-01-13,53.69,54.04,53.5,53.87,1039137
2017-01-17,53.51,53.98,53.28,53.32,1000721
2017-01-18,53.36,53.9,53.32,53.72,1695210
2017-01-19,53.8,53.89,53.3,53.32,857923
2017-01-20,53.27,53.5,52.87,53.27,1211269
2017-01-23,53.33,53.33,51.89,52.11,2264897
2017-01-24,52.19,52.78,52.0,52.5,1952627
2017-01-25,52.73,53.02,52.19,52.79,1783173
2017-01-26,52.85,52.95,52.53,52.93,1248787
2017-01-27,52.92,53.23,52.28,53.22,1002986
2017-01-30,53.16,53.45,52.63,52.96,737273
2017-01-31,52.93,52.96,51.78,52.08,1857184
2017-02-01,51.97,52.68,51.83,52.29,1444101
2017-02-02,52.18,52.47,51.57,52.44,1007806
2017-02-03,52.7,53.36,52.43,53.32,1048525
2017-02-06,53.26,53.53,52.82,52.92,645941
2017-02-07,53.1,53.33,52.73,53.3,980334
2017-02-08,53.23,53.66,52.88,53.54,1137401
2017-02-09,53.51,54.32,53.51,54.09,761488
2017-02-10,54.31,54.79,53.97,54.73,842984
2017-02-13,54.87,55.31,54.77,55.09,1040376
2017-02-14,54.81,55.71,54.81,55.21,1659949
2017-02-15,55.21,56.1,54.76,56.09,1231846
2017-02-16,56.1,56.26,55.08,56.17,1185134
2017-02-17,56.12,56.5,55.76,56.5,1546617
2017-02-21,56.4,56.75,55.7,56.13,1526027
2017-02-22,55.89,56.61,55.33,56.59,1942033
2017-02-23,56.63,56.8,55.95,56.01,1117722
2017-02-24,55.87,56.71,55.79,56.7,1321958
2017-02-27,56.65,56.78,56.16,56.75,682264
2017-02-28,56.77,57.26,56.3,56.38,1401698
2017-03-01,56.79,57.35,56.24,57.28,1246167
2017-03-02,57.11,57.35,56.77,56.78,1521776
2017-03-03,56.83,57.0,56.2,56.5,815790
2017-03-06,56.28,56.6,56.14,56.41,768944
2017-03-07,56.26,56.53,55.98,56.05,783702
2017-03-08,56.18,56.41,55.76,55.9,802221
2017-03-09,55.88,56.3,55.61,55.84,995142
2017-03-10,55.96,56.74,55.96,56.59,1135719
2017-03-13,56.57,56.92,56.41,56.78,1322562
2017-03-14,56.51,56.78,56.08,56.26,937870
2017-03-15,56.58,56.76,56.04,56.46,913012
2017-03-16,56.42,56.49,55.94,56.1,736160
2017-03-17,56.06,56.49,55.73,56.4,1232274
2017-03-20,56.44,56.52,56.03,56.25,647057
2017-03-21,56.32,56.49,55.42,55.58,775740
2017-03-22,55.84,55.9,55.42,55.83,1097491
2017-03-23,55.88,56.42,55.48,55.87,942171
2017-03-24,56.02,56.33,55.62,55.82,774069
2017-03-27,55.32,55.86,55.13,55.63,760028
2017-03-28,55.58,56.7,55.53,56.44,975137
2017-03-29,56.31,56.49,55.68,56.33,541452
