Date,Open,High,Low,Close,Volume
2017-01-03,30.97,31.14,30.43,30.95,3757235
2017-01-04,30.99,31.29,30.94,30.97,3242019
2017-01-05,30.94,31.05,30.57,30.85,3947581
2017-01-06,30.71,31.24,30.71,31.13,3485064
2017-01-09,31.21,31.23,30.93,31.01,4802751
2017-01-10,30.84,30.85,30.12,30.37,7195984
2017-01-11,30.33,30.94,30.33,30.73,5282990
2017-01-12,30.73,30.91,30.56,30.68,4247187
2017-01-13,30.64,30.72,30.41,30.61,3889258
2017-01-17,30.86,31.36,30.7,31.15,4092617
2017-01-18,31.08,31.23,30.66,30.76,3481522
2017-01-19,30.64,30.73,30.24,30.31,4519371
2017-01-20,30.35,30.52,29.91,30.04,4713891
2017-01-23,30.15,30.26,29.57,29.61,3935952
2017-01-24,29.67,29.85,29.51,29.58,3838089
2017-01-25,29.54,30.01,29.52,29.8,5785924
2017-01-26,29.78,29.92,29.67,29.82,5205162
2017-01-27,29.89,30.02,29.72,29.99,3355954
2017-01-30,30.14,30.14,29.61,29.82,4584486
2017-01-31,29.83,30.37,29.75,30.32,4811353
2017-02-01,30.09,30.32,29.71,29.84,4356998
2017-02-02,29.9,30.0,29.62,29.95,5426521
2017-02-03,29.67,30.03,29.58,29.89,3374136
2017-02-06,29.98,30.15,29.81,29.88,4332651
2017-02-07,29.92,30.04,29.77,29.99,2773886
2017-02-08,30.03,30.07,29.83,30.04,4244157
2017-02-09,30.06,30.09,29.65,29.88,4045987
2017-02-10,29.86,30.52,29.81,30.45,3805535
2017-02-13,30.52,30.72,30.39,30.53,5645170
2017-02-14,30.54,30.64,30.16,30.36,2566774
2017-02-15,30.13,30.46,30.11,30.4,2828697
2017-02-16,30.38,30.64,30.27,30.62,3805720
2017-02-17,30.66,31.04,30.55,31.01,4410407
2017-02-21,30.92,31.35,30.84,31.33,5193542
2017-02-22,30.81,31.02,30.35,30.79,6792905
2017-02-23,30.97,31.62,30.96,31.39,5776154
2017-02-24,31.56,32.34,31.49,32.32,6126750
2017-02-27,32.35,32.35,31.76,31.81,4398167
2017-02-28,31.81,32.54,31.77,32.43,5503093
2017-03-01,32.09,32.09,31.39,31.56,7326094
2017-03-02,31.45,32.0,31.4,31.64,3980128
