Date,Open,High,Low,Close,Volume
2017-01-03,143.56,144.73,142.84,143.4,1402312
2017-01-04,144.04,144.84,143.69,144.65,2012158
2017-01-05,144.38,144.42,142.84,143.22,1260356
2017-01-06,143.24,144.8,142.95,144.36,1745864
2017-01-09,144.3,147.59,144.29,146.31,2370426
2017-01-10,146.49,146.89,145.21,145.26,1038828
2017-01-11,144.79,146.1,144.79,146.01,1000811
2017-01-12,145.96,145.96,144.2,145.84,654088
2017-01-13,145.7,146.08,145.05,145.35,996479
2017-01-17,145.07,145.84,144.67,145.34,1269093
2017-01-18,145.56,146.35,144.56,146.33,1147937
2017-01-19,146.36,146.64,145.17,145.47,1239438
2017-01-20,145.7,146.78,145.59,146.62,1149990
2017-01-23,146.39,146.88,144.77,146.07,1268383
2017-01-24,146.55,147.4,146.26,147.13,2016408
2017-01-25,147.5,148.72,147.15,148.53,1597841
2017-01-26,148.24,149.46,147.68,148.81,1856079
2017-01-27,140.0,142.47,137.05,142.01,5469500
2017-01-30,140.1,141.83,139.91,140.99,2724918
2017-01-31,140.99,141.22,139.14,139.76,2483750
2017-02-01,139.32,140.24,138.0,138.68,1652320
2017-02-02,138.68,139.86,137.46,139.28,1438480
2017-02-03,139.77,140.29,139.15,140.16,1300235
2017-02-06,140.0,140.27,138.64,139.05,808555
2017-02-07,139.09,139.49,137.88,138.8,1466876
2017-02-08,138.18,138.8,137.72,138.59,1648993
2017-02-09,138.58,139.46,138.22,138.54,1298011
2017-02-10,138.9,140.44,138.54,140.13,2273358
2017-02-13,140.75,141.25,139.85,140.5,1670534
2017-02-14,140.4,142.26,139.75,142.13,2001527
2017-02-15,141.67,142.99,141.19,142.38,1429025
2017-02-16,142.57,143.12,141.06,141.87,860870
2017-02-17,141.97,142.14,141.1,141.5,717369
2017-02-21,140.98,141.8,140.83,141.47,1148242
2017-02-22,140.77,141.37,140.28,140.34,993314
2017-02-23,140.97,141.21,139.32,140.36,1434154
2017-02-24,140.07,141.01,139.61,140.86,890325
2017-02-27,140.93,141.23,139.12,139.38,1079405
2017-02-28,138.93,140.7,138.8,140.47,1677831
2017-03-01,142.13,144.06,141.98,143.69,1706981
2017-03-02,143.41,143.41,140.41,140.57,1267454
2017-03-03,140.34,140.87,139.13,139.52,923872
2017-03-06,139.02,140.11,138.66,139.31,974053
2017-03-07,139.22,139.84,138.85,139.64,870704
2017-03-08,139.73,140.42,139.15,139.56,1183360
2017-03-09,139.6,140.51,138.03,138.58,1570783
2017-03-10,139.41,139.6,138.25,138.77,1475505
2017-03-13,138.9,139.29,136.93,137.82,1443125
2017-03-14,137.54,137.58,135.88,136.18,1747497
2017-03-15,136.89,138.43,136.17,137.99,2460553
2017-03-16,138.25,138.25,137.03,137.97,1462705
2017-03-17,138.56,139.61,138.49,139.53,2174015
2017-03-20,139.49,139.7,138.32,138.69,1248696
2017-03-21,138.69,138.95,136.0,136.45,1548064
2017-03-22,136.37,137.0,135.01,136.41,841383
2017-03-23,136.16,138.01,135.3,137.05,1188701
2017-03-24,136.83,137.43,134.67,134.94,1313391
2017-03-27,133.87,136.21,133.63,135.92,2522688
2017-03-28,135.84,137.58,135.84,137.25,1013963
2017-03-29,136.76,137.3,136.23,136.78,740010
2017-03-30,135.8,136.85,135.6,135.6,2069454
2017-03-31,135.13,136.33,135.12,135.29,1845247
2017-04-03,135.7,136.44,134.09,134.95,1624194
2017-04-04,135.08,135.39,134.68,135.35,1109759
2017-04-05,135.84,137.1,135.02,135.24,930793
2017-04-06,135.48,135.83,135.0,135.19,860391
2017-04-07,134.78,135.55,134.33,135.01,2908220
2017-04-10,135.22,136.11,135.08,135.76,859032
2017-04-11,135.79,136.47,135.4,136.42,1003978
2017-04-12,136.46,136.48,135.35,135.51,899936
2017-04-13,135.33,135.58,134.17,134.3,626943
2017-04-17,134.78,135.9,134.42,135.86,1092375
2017-04-18,135.04,136.02,134.72,135.27,701020
2017-04-19,135.73,136.04,134.78,134.96,577819
2017-04-20,135.62,137.34,135.2,136.9,985329
2017-04-21,136.87,137.66,136.82,137.3,1121329
2017-04-24,137.91,139.9,137.91,139.76,1006799
2017-04-25,140.22,141.86,140.14,141.73,1189378
2017-04-26,141.33,142.45,140.75,141.58,1511287
2017-04-27,141.28,141.85,137.72,141.1,1855137
2017-04-28,141.0,141.19,139.35,140.5,1910933
2017-05-01,141.55,142.14,140.01,142.03,1671428
2017-05-02,142.5,143.58,142.01,143.52,2492276
2017-05-03,143.49,144.32,143.26,143.82,1906723
2017-05-04,143.91,145.58,143.9,144.76,2303220
2017-05-05,145.0,147.66,145.0,147.22,2316929
2017-05-08,146.82,147.39,145.93,146.19,1589901
2017-05-09,146.2,146.44,144.98,145.3,943767
2017-05-10,145.45,145.6,144.64,145.25,928282
2017-05-11,144.99,145.05,143.29,143.86,1065764
2017-05-12,143.86,145.11,143.72,144.07,1288056
2017-05-15,144.51,145.22,144.12,145.08,710562
2017-05-16,142.73,145.24,142.64,144.35,2119304
2017-05-17,143.7,144.34,142.54,142.57,1349839
2017-05-18,142.65,143.53,141.34,142.71,1271857
2017-05-19,142.99,143.96,142.56,143.1,1340076
2017-05-22,143.85,143.89,142.86,143.31,820866
2017-05-23,143.58,143.58,142.59,142.83,639108
2017-05-24,143.28,144.92,142.88,144.14,1081478
2017-05-25,144.15,144.51,143.32,144.12,781370
2017-05-26,143.84,144.27,143.55,143.91,694529
2017-05-30,143.65,144.3,143.34,143.97,885206
2017-05-31,143.83,144.31,142.98,144.06,1493977
2017-06-01,144.46,145.93,144.0,145.08,1085079
2017-06-02,145.47,147.5,144.78,146.79,1192603
2017-06-05,146.61,146.83,144.87,144.96,1291917
2017-06-06,144.48,144.83,143.85,144.12,770800
2017-06-07,144.58,144.68,143.18,143.36,883047
2017-06-08,143.07,144.16,142.53,143.5,1065751
2017-06-09,143.67,146.09,143.67,145.85,1152544
2017-06-12,145.5,146.18,144.23,144.43,1199730
2017-06-13,144.42,146.32,144.04,146.27,831484
2017-06-14,146.27,146.35,144.81,145.56,774621
2017-06-15,144.79,146.54,144.7,145.21,2038252
2017-06-16,145.66,146.0,144.65,145.51,1735745
2017-06-19,146.37,147.38,145.82,146.15,1268565
2017-06-20,145.24,145.8,144.62,144.74,801449
2017-06-21,144.91,145.65,143.31,143.48,749914
2017-06-22,143.32,144.53,143.2,144.25,1008193
2017-06-23,144.6,145.03,143.81,144.94,4010208
2017-06-26,145.03,145.54,144.58,144.91,1150890
2017-06-27,145.05,145.51,143.83,143.83,796579
2017-06-28,145.17,145.25,144.4,144.84,870243
2017-06-29,144.19,144.46,140.78,141.77,892426
2017-06-30,141.97,143.86,141.89,143.06,938130
2017-07-03,143.73,144.74,143.5,144.29,411641
2017-07-05,144.15,144.49,142.45,142.61,719366
2017-07-06,142.31,143.44,141.99,142.13,533625
2017-07-07,142.43,144.13,142.08,144.01,708653
2017-07-10,143.54,144.52,143.08,143.5,591096
2017-07-11,143.62,143.72,142.19,142.77,645770
2017-07-12,143.25,144.24,143.18,143.73,949426
2017-07-13,143.9,144.68,143.29,144.37,1005114
