Date,Open,High,Low,Close,Volume
2017-01-03,83.1,83.38,82.3,82.96,4943270
2017-01-04,83.3,83.5,82.78,82.98,4125458
2017-01-05,82.0,83.37,80.31,83.03,7401365
2017-01-06,83.08,83.69,82.45,83.1,3949995
2017-01-09,82.81,82.91,81.95,82.55,3293038
2017-01-10,82.41,83.4,82.0,82.67,3037865
2017-01-11,83.01,85.26,83.01,84.43,6573458
2017-01-12,84.15,84.27,83.35,83.92,3242564
2017-01-13,83.94,84.14,83.37,83.82,2934594
2017-01-17,83.53,84.55,83.5,84.22,3332053
2017-01-18,84.21,84.4,83.63,84.12,2938775
2017-01-19,84.08,84.09,83.34,83.49,2615684
2017-01-20,84.11,84.72,81.01,81.72,11067907
2017-01-23,81.4,82.49,81.34,81.55,3704323
2017-01-24,81.72,81.81,80.62,81.23,4245772
2017-01-25,81.42,82.32,81.33,82.03,5113159
2017-01-26,81.87,82.26,81.22,81.27,2535271
2017-01-27,81.6,82.28,80.74,81.5,4613064
2017-01-30,82.0,82.23,81.04,81.48,5047095
2017-01-31,81.26,81.94,81.09,81.94,3424716
2017-02-01,81.2,81.69,80.16,81.04,5080115
2017-02-02,81.05,81.05,80.21,80.59,3667771
2017-02-03,81.13,81.24,80.4,80.47,3167670
2017-02-06,80.53,81.4,80.47,80.8,3418422
2017-02-07,80.91,81.55,80.37,81.43,4174804
2017-02-08,81.32,81.66,80.72,81.53,2515251
2017-02-09,81.73,82.55,81.4,82.38,2950038
2017-02-10,82.38,83.46,81.95,83.31,4401200
2017-02-13,83.48,83.63,82.67,83.43,3299797
2017-02-14,83.33,83.88,83.06,83.79,5095885
2017-02-15,83.74,84.38,83.61,84.25,2736127
2017-02-16,84.2,86.12,84.0,85.65,6373665
2017-02-17,85.54,86.1,85.37,85.86,4106620
2017-02-21,88.0,88.0,85.89,86.41,3430698
2017-02-22,86.43,86.57,85.9,86.29,3047701
2017-02-23,86.47,87.82,83.99,86.99,3437222
2017-02-24,86.86,87.63,86.73,87.61,2890852
2017-02-27,87.47,87.58,87.05,87.22,2032133
2017-02-28,87.13,87.13,85.59,86.38,3879904
2017-03-01,86.82,87.23,86.4,86.77,3390496
2017-03-02,86.5,87.03,86.32,86.74,3097105
2017-03-03,86.66,86.91,85.24,85.89,3157970
2017-03-06,85.58,86.44,85.36,85.88,2437548
2017-03-07,85.46,86.32,85.36,85.99,2407972
2017-03-08,85.99,85.99,85.12,85.16,2898421
2017-03-09,85.26,85.81,84.45,85.31,2520986
2017-03-10,85.93,86.06,85.34,85.63,2601035
2017-03-13,85.42,85.76,85.07,85.61,2417742
2017-03-14,85.45,85.5,84.63,85.4,3257320
2017-03-15,85.53,85.95,84.71,85.8,3921032
2017-03-16,85.61,86.04,85.22,85.67,3356110
2017-03-17,86.25,86.25,85.04,85.91,7254687
2017-03-20,85.77,85.86,84.55,84.63,3579559
