Date,Open,High,Low,Close,Volume
2017-01-03,45.69,45.73,44.67,44.94,770137
2017-01-04,45.1,45.52,44.8,45.36,1089447
2017-01-05,45.1,45.65,44.65,45.45,833368
2017-01-06,45.3,45.56,44.98,45.45,1299301
2017-01-09,45.54,45.61,44.92,44.96,697735
2017-01-10,44.87,44.98,44.24,44.25,1241996
2017-01-11,44.24,44.42,43.93,43.97,1197993
2017-01-12,43.64,44.3,43.35,44.22,855098
2017-01-13,44.08,44.41,43.97,44.18,449046
2017-01-17,44.3,44.65,44.2,44.52,1220470
2017-01-18,44.59,44.83,44.34,44.46,677674
2017-01-19,44.21,44.34,43.95,44.04,633150
2017-01-20,44.16,44.78,44.06,44.76,1108592
2017-01-23,44.72,45.17,44.6,45.16,983599
2017-01-24,45.1,45.43,44.94,45.3,1340047
2017-01-25,45.23,45.23,44.49,44.5,906958
2017-01-26,44.56,44.8,44.24,44.46,577305
2017-01-27,44.62,44.64,43.97,44.3,774083
2017-01-30,44.37,44.42,43.84,43.88,1066256
2017-01-31,44.01,44.47,43.92,44.07,738677
2017-02-01,43.85,44.26,43.19,43.23,786531
2017-02-02,43.33,44.41,43.27,44.29,1465722
2017-02-03,45.21,45.89,44.36,44.44,1447135
2017-02-06,44.4,44.56,43.85,44.26,968372
2017-02-07,44.32,44.85,44.06,44.69,837175
2017-02-08,44.89,45.58,44.61,45.3,1568111
2017-02-09,45.13,45.37,44.73,45.12,1079558
2017-02-10,44.98,45.77,44.91,45.72,713422
2017-02-13,45.72,45.86,44.95,45.52,748942
2017-02-14,45.35,45.52,44.74,45.36,660531
2017-02-15,44.76,44.98,44.36,44.72,777817
2017-02-16,44.89,45.44,44.86,45.17,405207
2017-02-17,45.15,45.21,44.62,45.01,742390
2017-02-21,44.82,45.95,44.62,45.78,816282
2017-02-22,45.93,45.93,44.73,45.43,848430
2017-02-23,45.68,46.13,45.28,45.96,1040888
2017-02-24,46.14,46.14,45.66,46.09,487775
2017-02-27,46.19,46.6,45.95,46.46,531370
2017-02-28,46.43,46.86,46.3,46.53,1609421
2017-03-01,46.25,46.46,45.95,46.02,1340143
2017-03-02,45.89,46.15,45.38,45.54,1125288
2017-03-03,45.48,45.54,44.9,45.39,826853
2017-03-06,45.16,45.49,44.78,45.25,988491
2017-03-07,45.23,45.46,45.0,45.43,783095
2017-03-08,45.15,45.55,44.63,44.69,598428
2017-03-09,44.69,45.0,43.73,43.76,1017362
2017-03-10,44.23,44.54,43.03,43.43,941809
2017-03-13,43.58,43.76,43.06,43.11,2275687
2017-03-14,43.18,43.25,42.84,43.11,2075955
2017-03-15,43.26,44.6,43.08,44.34,3011108
2017-03-16,44.29,44.73,43.95,44.13,858655
2017-03-17,44.22,44.54,43.92,44.21,1631489
2017-03-20,44.19,44.44,43.99,44.09,1093613
2017-03-21,44.27,44.6,44.12,44.46,1698312
2017-03-22,44.77,44.77,44.14,44.51,695806
2017-03-23,44.46,44.97,44.22,44.71,710433
2017-03-24,44.87,45.08,44.64,44.74,554605
2017-03-27,44.31,44.95,44.09,44.22,800614
2017-03-28,44.26,44.43,43.65,44.35,862481
2017-03-29,44.29,44.49,44.0,44.4,645916
2017-03-30,44.25,44.46,43.91,44.32,650473
2017-03-31,44.25,44.59,44.08,44.35,1440677
2017-04-03,44.32,44.44,44.02,44.32,1509818
2017-04-04,44.31,45.11,44.14,44.44,1143698
2017-04-05,44.45,44.72,44.07,44.64,1195762
2017-04-06,44.57,44.92,44.36,44.86,1211849
2017-04-07,44.92,45.09,44.75,44.92,638327
2017-04-10,44.87,45.1,44.63,44.99,706969
2017-04-11,45.0,45.12,44.72,44.81,920299
2017-04-12,44.86,44.94,44.11,44.24,2753754
2017-04-13,44.27,44.4,43.7,43.99,1454569
2017-04-17,44.18,44.63,44.1,44.59,2038689
2017-04-18,44.54,44.85,44.49,44.72,1543465
2017-04-19,44.73,44.87,44.24,44.3,984087
2017-04-20,44.36,44.36,43.8,44.05,2135119
2017-04-21,43.98,44.37,43.98,44.15,1651247
2017-04-24,44.72,44.72,43.16,43.81,2470532
2017-04-25,43.88,44.71,43.64,44.65,1803233
2017-04-26,44.62,44.96,44.21,44.84,1725264
2017-04-27,44.78,44.95,44.09,44.45,2890571
2017-04-28,44.31,44.4,43.45,43.74,2284087
2017-05-01,43.61,43.66,43.03,43.35,1938974
2017-05-02,43.38,43.53,43.03,43.13,1522246
2017-05-03,43.23,43.23,42.6,42.83,1220428
2017-05-04,42.66,43.23,42.3,43.17,981113
2017-05-05,43.13,43.98,42.97,43.96,1195520
2017-05-08,44.02,44.04,42.99,43.09,1482330
2017-05-09,43.04,43.23,42.75,42.9,1386967
2017-05-10,42.88,43.73,42.8,43.35,891518
2017-05-11,43.1,43.3,42.75,43.2,745910
2017-05-12,43.24,43.43,43.06,43.22,629100
2017-05-15,43.23,43.58,42.99,43.07,821500
2017-05-16,43.05,43.24,42.52,42.64,1167038
2017-05-17,42.22,43.21,42.22,42.87,1539187
2017-05-18,42.78,43.22,42.48,42.79,1357542
2017-05-19,42.82,43.16,42.55,43.04,1168544
2017-05-22,43.17,43.35,42.92,43.15,1052596
2017-05-23,43.21,43.54,43.11,43.28,751173
2017-05-24,43.32,43.53,43.13,43.27,898234
2017-05-25,43.49,43.68,42.97,43.19,515265
2017-05-26,43.18,43.53,43.03,43.18,672142
2017-05-30,43.22,43.37,42.88,42.92,2035834
2017-05-31,42.83,43.41,42.83,42.92,1400448
2017-06-01,42.83,43.06,42.45,43.05,1131977
2017-06-02,43.38,43.69,43.09,43.69,948875
2017-06-05,43.49,44.27,43.24,44.04,855744
2017-06-06,44.13,44.62,43.78,44.08,1410283
2017-06-07,44.13,44.61,43.94,44.22,1061029
2017-06-08,44.25,44.25,43.46,44.09,934562
2017-06-09,44.01,44.56,43.81,44.36,920505
2017-06-12,44.32,44.49,43.99,44.15,1016132
2017-06-13,44.11,44.35,43.94,44.32,616701
2017-06-14,44.73,44.76,44.38,44.49,462703
2017-06-15,44.24,45.0,44.24,44.44,1019888
2017-06-16,44.42,44.67,44.24,44.51,1484940
2017-06-19,44.56,44.96,44.42,44.72,746617
2017-06-20,44.81,44.89,43.89,44.43,757140
2017-06-21,44.43,44.43,43.85,43.99,1033712
2017-06-22,43.86,44.15,43.65,43.83,1494750
2017-06-23,43.87,44.22,43.7,43.78,1721783
2017-06-26,43.86,43.89,43.47,43.76,873625
2017-06-27,43.52,43.77,42.63,43.01,1792317
2017-06-28,43.05,43.18,42.6,42.66,1731842
2017-06-29,42.35,42.74,42.19,42.69,1840036
2017-06-30,42.94,43.26,42.73,42.97,1691039
2017-07-03,43.15,43.27,42.86,43.18,722913
2017-07-05,43.4,44.09,43.3,43.76,1845197
2017-07-06,43.56,43.65,42.49,42.76,2380509
2017-07-07,42.75,42.98,42.52,42.65,1667506
2017-07-10,42.75,43.0,42.53,42.59,1443105
2017-07-11,42.64,42.64,41.87,42.42,1845591
2017-07-12,42.59,43.08,42.53,42.97,1294581
2017-07-13,43.0,43.0,42.61,42.81,1060535
