Date,Open,High,Low,Close,Volume
2017-01-03,74.63,74.98,73.37,73.92,551670
2017-01-04,74.03,74.76,73.79,74.65,462726
2017-01-05,74.63,74.74,73.68,74.19,429926
2017-01-06,74.57,74.9,74.29,74.59,329672
2017-01-09,73.86,74.36,73.82,73.91,526334
2017-01-10,73.77,74.43,73.6,74.01,529053
2017-01-11,73.43,74.02,73.34,73.75,861407
2017-01-12,73.42,73.6,72.66,73.4,478172
2017-01-13,73.8,74.43,73.68,73.88,313650
2017-01-17,73.5,73.51,72.75,73.0,380337
2017-01-18,73.48,73.97,72.88,73.81,423852
2017-01-19,73.9,73.9,73.02,73.62,356820
2017-01-20,73.74,74.27,73.5,73.99,369984
2017-01-23,73.86,74.06,73.15,73.59,311660
2017-01-24,73.97,74.58,73.91,74.26,359461
2017-01-25,74.71,74.96,74.5,74.69,441516
2017-01-26,74.51,75.24,74.51,74.86,388680
2017-01-27,74.87,75.0,74.25,74.55,269529
2017-01-30,74.15,74.15,73.56,74.05,259026
2017-01-31,74.02,74.41,72.97,73.54,500638
2017-02-01,74.09,74.54,73.46,73.54,398828
2017-02-02,72.59,74.53,72.59,73.66,443290
2017-02-03,74.49,74.89,74.05,74.25,493270
2017-02-06,73.95,74.52,73.77,74.39,408006
2017-02-07,74.46,74.71,74.07,74.18,333688
2017-02-08,73.9,74.29,73.53,73.83,668878
2017-02-09,74.09,74.72,73.79,74.45,565738
2017-02-10,74.82,75.22,74.56,74.92,437934
2017-02-13,75.28,76.11,75.2,75.86,381847
2017-02-14,75.62,76.25,75.56,76.17,336447
2017-02-15,76.38,77.05,76.12,76.99,328873
2017-02-16,76.78,77.43,76.46,77.42,411393
2017-02-17,77.08,77.33,76.51,77.12,452478
2017-02-21,77.11,77.4,76.97,77.26,408997
2017-02-22,76.87,77.72,76.72,77.51,387982
2017-02-23,77.6,77.86,77.1,77.56,273901
2017-02-24,76.98,77.64,76.87,77.55,447712
2017-02-27,76.84,77.78,76.84,77.47,341960
2017-02-28,77.13,77.62,76.92,77.53,558417
2017-03-01,78.48,79.05,78.32,78.7,753183
2017-03-02,78.86,78.86,77.84,77.88,454671
2017-03-03,77.98,78.3,77.67,78.19,503932
2017-03-06,77.67,78.22,77.67,77.92,319558
2017-03-07,77.87,78.28,77.54,78.03,367259
2017-03-08,78.84,79.53,77.48,77.59,464413
2017-03-09,77.95,78.37,77.79,78.21,499886
2017-03-10,78.32,78.52,77.81,78.34,365497
2017-03-13,78.29,78.59,78.05,78.38,350884
2017-03-14,78.09,78.51,77.94,78.41,378716
2017-03-15,78.46,78.75,78.22,78.63,375979
2017-03-16,78.84,79.05,78.5,78.71,384133
2017-03-17,78.77,78.97,78.09,78.63,766936
2017-03-20,78.52,78.89,78.06,78.42,444780
2017-03-21,78.77,78.82,76.47,76.57,636381
2017-03-22,76.32,76.67,75.73,76.48,670182
2017-03-23,76.33,77.14,76.09,76.56,593643
2017-03-24,76.7,77.29,76.28,76.59,358643
2017-03-27,75.47,76.43,75.35,76.34,365695
2017-03-28,76.23,77.35,76.21,76.92,469188
2017-03-29,76.64,76.7,75.96,76.24,573568
2017-03-30,76.03,77.26,76.03,77.17,431351
2017-03-31,77.03,77.42,76.86,77.04,550466
2017-04-03,77.15,77.37,75.84,76.66,454490
2017-04-04,76.64,76.89,76.35,76.82,355574
2017-04-05,77.29,77.36,75.95,76.03,339469
2017-04-06,75.96,76.51,75.47,76.26,447747
2017-04-07,75.84,76.51,75.5,76.16,382027
2017-04-10,76.06,76.42,75.73,76.09,367680
2017-04-11,75.76,76.24,75.42,76.23,493338
2017-04-12,76.23,76.23,75.06,75.39,328647
2017-04-13,75.17,75.63,74.48,74.48,474348
2017-04-17,74.77,75.64,74.56,75.55,535780
2017-04-18,75.15,75.5,74.64,75.0,351420
2017-04-19,75.51,75.52,74.5,74.76,622295
2017-04-20,75.41,76.74,75.11,76.0,853987
2017-04-21,75.96,76.71,75.65,76.33,748392
2017-04-24,77.86,77.98,76.79,77.28,798717
2017-04-25,77.81,78.0,77.02,77.27,544061
2017-04-26,77.13,77.55,76.98,77.07,583393
2017-04-27,77.19,77.93,77.11,77.43,811936
2017-04-28,77.39,77.63,76.64,76.71,412897
2017-05-01,77.07,77.14,76.58,76.9,382031
2017-05-02,76.8,77.19,76.69,76.76,375394
2017-05-03,76.58,77.14,76.5,76.88,361859
2017-05-04,77.3,77.76,76.46,76.71,601775
2017-05-05,76.84,76.91,76.38,76.83,332395
2017-05-08,76.9,77.13,76.38,76.62,252172
2017-05-09,76.73,76.85,75.98,76.04,357574
2017-05-10,75.81,76.29,75.63,76.12,541150
2017-05-11,75.89,76.01,75.02,75.58,473370
2017-05-12,75.16,75.57,75.05,75.24,417037
2017-05-15,75.42,76.08,75.21,76.02,471412
2017-05-16,76.32,76.64,75.5,75.64,518788
2017-05-17,74.34,74.9,73.99,74.11,492193
2017-05-18,74.11,74.99,74.07,74.57,523426
2017-05-19,74.71,75.07,74.19,74.37,814212
2017-05-22,74.75,74.92,74.39,74.75,382522
2017-05-23,74.77,75.3,74.33,75.06,262368
2017-05-24,75.12,75.19,74.36,74.76,345192
2017-05-25,75.1,75.83,74.87,75.65,365558
2017-05-26,75.44,75.6,75.18,75.23,230934
2017-05-30,74.98,75.43,74.79,75.27,247662
2017-05-31,75.37,75.54,74.6,75.5,1006955
2017-06-01,75.73,76.62,75.26,76.59,444709
2017-06-02,76.39,76.88,76.06,76.47,374632
2017-06-05,76.37,76.84,75.83,75.86,361732
2017-06-06,75.44,75.56,74.71,74.8,563513
2017-06-07,74.85,75.16,74.54,74.71,467663
2017-06-08,74.81,75.79,74.6,75.29,620488
2017-06-09,75.58,76.84,75.21,76.76,462415
2017-06-12,76.73,77.12,76.16,76.63,374686
2017-06-13,76.7,77.09,76.52,76.96,276022
2017-06-14,76.54,76.96,75.99,76.94,277297
2017-06-15,76.66,77.09,76.18,76.99,353346
