Date,Open,High,Low,Close,Volume
2017-01-03,103.68,104.77,103.45,104.05,3379330
2017-01-04,104.34,106.5,104.1,105.82,4439027
2017-01-05,105.64,106.25,105.04,105.35,2328328
2017-01-06,105.8,106.75,105.41,106.49,2633695
2017-01-09,105.94,106.31,104.85,105.19,2195058
2017-01-10,105.0,105.35,104.63,104.89,1745437
2017-01-11,105.1,105.83,104.97,105.71,1235310
2017-01-12,105.16,105.43,103.99,105.17,2165962
2017-01-13,105.56,106.0,104.96,105.79,1360588
2017-01-17,105.71,105.71,104.1,104.34,2439353
2017-01-18,104.96,105.65,104.45,105.24,1941283
2017-01-19,105.43,105.7,104.92,105.02,1526117
2017-01-20,105.47,107.03,105.04,106.74,2843948
2017-01-23,106.79,107.3,106.45,107.12,2073146
2017-01-24,106.37,108.0,106.37,107.67,2277777
2017-01-25,107.82,108.47,107.58,108.06,2181239
2017-01-26,107.95,108.08,106.93,107.63,1560426
2017-01-27,107.8,107.99,107.1,107.99,1220679
2017-01-30,107.73,107.73,106.45,107.06,2420696
2017-01-31,106.31,107.15,105.64,107.05,1645836
2017-02-01,107.3,107.86,106.65,107.15,1375056
2017-02-02,107.15,107.58,106.62,107.43,1168062
2017-02-03,107.51,108.08,107.28,107.99,1895127
2017-02-06,107.76,108.15,107.45,108.06,2022266
2017-02-07,108.49,108.9,108.07,108.76,1755861
2017-02-08,108.28,108.55,107.75,108.41,1605864
2017-02-09,108.41,109.19,108.09,109.12,2715526
2017-02-10,109.25,110.39,109.15,110.24,2757834
2017-02-13,109.97,112.18,109.52,110.75,2704154
2017-02-14,109.88,110.42,109.06,110.05,3521051
2017-02-15,109.08,109.67,108.31,109.12,5231910
2017-02-16,109.15,109.4,107.96,109.17,4757882
2017-02-17,111.77,112.16,107.78,110.27,6717785
2017-02-21,110.24,110.27,108.55,109.61,3355005
2017-02-22,108.8,109.92,108.7,109.65,4206266
2017-02-23,109.55,109.7,106.72,107.73,4170699
2017-02-24,107.27,108.67,107.08,108.62,2166411
2017-02-27,108.65,109.74,108.56,109.51,1835218
2017-02-28,108.91,110.62,108.91,109.49,2812507
2017-03-01,110.72,111.78,110.71,111.22,2859796
2017-03-02,110.77,111.23,109.38,109.54,2349226
2017-03-03,109.42,111.01,108.86,110.83,1886960
2017-03-06,109.91,111.06,109.71,110.84,1689521
2017-03-07,110.83,110.95,110.02,110.24,1640003
2017-03-08,110.44,111.31,110.15,110.47,1892681
2017-03-09,110.54,110.9,108.81,109.58,2125623
2017-03-10,109.83,110.0,108.88,109.92,1876871
2017-03-13,110.17,110.67,109.35,109.88,1450694
2017-03-14,109.3,109.59,108.64,109.21,1504073
2017-03-15,109.59,111.32,109.17,110.79,2579993
2017-03-16,111.2,111.27,110.42,110.73,1378887
2017-03-17,110.74,111.11,110.23,110.45,4122211
2017-03-20,110.46,111.19,109.9,110.88,1360231
2017-03-21,111.26,111.48,109.14,109.61,2261840
2017-03-22,109.7,110.24,109.1,109.77,1650598
2017-03-23,109.86,110.71,109.26,109.53,1046453
2017-03-24,109.53,110.24,108.34,108.98,1844661
2017-03-27,107.61,107.99,106.93,107.16,3473250
2017-03-28,107.31,108.54,107.31,108.33,1864891
2017-03-29,107.65,108.33,107.36,108.18,1614993
2017-03-30,108.33,109.43,108.25,109.17,1091475
2017-03-31,108.8,109.87,108.38,108.86,2257904
2017-04-03,108.97,109.26,107.97,108.78,1642311
2017-04-04,108.93,109.63,108.5,109.5,1266755
2017-04-05,110.0,111.04,108.93,109.25,1322828
2017-04-06,109.62,110.89,109.2,110.44,1616506
2017-04-07,110.38,110.84,109.29,109.32,1334656
2017-04-10,109.45,110.21,109.18,109.63,1040235
2017-04-11,110.02,111.38,109.37,111.16,2846708
2017-04-12,110.99,111.2,109.28,109.35,2088243
2017-04-13,109.1,109.57,107.96,108.0,2341231
2017-04-17,108.39,108.99,107.75,108.8,1981443
2017-04-18,108.02,108.88,107.83,108.47,1690470
2017-04-19,108.8,108.99,107.89,108.22,1458192
2017-04-20,108.0,109.15,107.26,108.8,2014014
2017-04-21,109.04,109.47,107.04,107.54,2025129
2017-04-24,109.01,110.59,108.94,110.25,2711428
2017-04-25,111.68,114.13,111.57,113.15,3326137
2017-04-26,113.09,113.78,112.5,112.55,2208070
2017-04-27,112.5,112.68,110.54,111.18,2635155
2017-04-28,111.0,111.86,109.84,111.61,2297713
2017-05-01,112.25,112.79,111.93,111.97,1808433
2017-05-02,112.28,112.94,110.42,110.93,2653322
2017-05-03,110.34,111.0,109.79,110.79,2013417
2017-05-04,111.02,112.09,110.42,112.03,3691016
2017-05-05,111.6,113.14,111.38,113.11,1505807
2017-05-08,112.94,113.13,112.22,112.64,1460398
2017-05-09,112.96,114.04,112.84,113.58,2059747
2017-05-10,113.5,114.17,113.33,113.55,2164879
2017-05-11,113.45,114.13,112.29,113.47,1627000
