Date,Open,High,Low,Close,Volume
2017-01-03,76.9,77.25,75.73,75.9,1253422
2017-01-04,75.81,77.16,75.41,76.79,1415042
2017-01-05,76.33,77.13,74.94,75.63,1514973
2017-01-06,75.81,76.03,75.08,75.16,1464486
2017-01-09,75.21,75.63,74.68,75.37,877730
2017-01-10,75.2,76.84,75.12,76.35,962614
2017-01-11,76.59,76.94,75.66,76.5,715499
2017-01-12,76.5,76.67,75.32,75.95,608002
2017-01-13,77.13,77.37,75.89,76.05,1299121
2017-01-17,76.03,78.25,76.03,77.36,1062618
2017-01-18,77.36,77.74,75.65,76.41,1154797
2017-01-19,76.19,76.72,74.26,74.79,1465518
2017-01-20,75.0,75.35,74.26,75.22,1265747
2017-01-23,74.85,75.14,74.05,74.71,1090569
2017-01-24,75.0,75.28,74.11,75.16,1650446
2017-01-25,75.66,76.12,74.38,75.23,1171952
2017-01-26,75.27,75.81,74.46,74.99,899795
2017-01-27,75.18,75.19,74.1,74.36,853471
2017-01-30,74.2,74.54,73.27,74.48,1715535
2017-01-31,74.13,74.39,72.71,73.67,2112525
2017-02-01,73.27,74.06,71.61,72.37,4076846
2017-02-02,75.12,76.0,73.02,73.71,6506603
2017-02-03,73.46,73.75,72.0,73.28,2283663
2017-02-06,73.17,73.93,72.54,73.28,1459360
2017-02-07,73.35,73.91,72.81,73.18,1254365
2017-02-08,73.13,73.66,72.01,73.03,2955495
2017-02-09,73.0,74.15,72.56,73.54,3385279
2017-02-10,73.57,74.62,73.32,74.25,1593616
2017-02-13,74.48,74.55,73.06,73.16,1050285
2017-02-14,73.14,73.7,73.11,73.4,894984
2017-02-15,73.36,73.67,72.65,72.73,1892373
2017-02-16,72.88,73.06,70.49,70.85,3179855
2017-02-17,70.8,72.29,70.49,72.18,3440232
2017-02-21,72.9,73.0,71.61,72.92,2529768
2017-02-22,73.0,73.43,72.23,72.3,1561999
2017-02-23,72.5,72.86,70.91,71.0,1637397
2017-02-24,71.37,71.9,70.72,71.17,2849376
2017-02-27,71.23,72.26,70.53,71.32,2696996
2017-02-28,71.36,71.74,70.12,70.91,2128432
2017-03-01,71.67,72.28,71.03,71.92,2517611
2017-03-02,72.01,73.0,71.78,72.59,2209373
2017-03-03,72.4,72.52,71.64,72.39,1502010
2017-03-06,72.39,72.39,71.08,71.78,1522315
2017-03-07,71.58,71.87,71.26,71.43,1067721
2017-03-08,71.55,73.08,71.4,72.7,1448153
2017-03-09,72.59,72.78,71.95,71.97,1597799
2017-03-10,72.02,72.63,71.89,72.51,1066792
2017-03-13,72.51,72.76,70.22,71.7,2330170
2017-03-14,70.81,72.26,70.81,71.74,1312211
2017-03-15,72.18,72.52,71.42,72.26,1509378
2017-03-16,72.25,73.13,71.83,71.91,1822224
2017-03-17,72.42,72.86,71.19,71.37,2148520
2017-03-20,71.29,71.62,70.48,70.92,1994933
2017-03-21,70.98,71.16,68.08,68.17,3916847
2017-03-22,68.1,68.9,67.73,68.78,1700960
2017-03-23,69.15,69.64,68.75,69.3,1374203
2017-03-24,69.3,69.75,68.9,69.02,1504531
2017-03-27,68.52,68.99,68.18,68.42,1724486
2017-03-28,68.33,68.55,67.7,67.97,2083218
2017-03-29,68.02,68.71,67.77,68.47,1592763
2017-03-30,68.38,68.82,68.2,68.65,1074156
2017-03-31,68.54,69.27,68.5,68.97,1159330
2017-04-03,68.93,69.25,68.09,68.18,2117331
2017-04-04,67.99,69.23,67.54,68.99,2920957
2017-04-05,69.19,69.97,68.2,68.25,2063252
2017-04-06,68.47,69.9,68.28,69.53,2452823
2017-04-07,69.52,70.11,69.21,69.94,1515657
2017-04-10,70.0,71.53,69.94,70.41,3230941
2017-04-11,70.17,71.42,69.44,70.47,1694723
2017-04-12,67.11,67.4,64.57,64.61,9102440
2017-04-13,64.35,65.29,63.51,63.54,3469869
