Date,Open,High,Low,Close,Volume
2017-01-03,67.57,68.22,67.09,67.43,826611
2017-01-04,67.53,68.14,67.47,67.93,867064
2017-01-05,68.01,68.41,67.4,67.57,841985
2017-01-06,67.75,68.28,67.39,68.08,637804
2017-01-09,68.02,68.24,67.36,67.38,709021
2017-01-10,67.42,67.98,67.12,67.79,674796
2017-01-11,67.56,67.82,67.35,67.82,752228
2017-01-12,67.55,68.02,66.91,67.97,769229
2017-01-13,68.09,68.5,68.01,68.11,842116
2017-01-17,67.78,68.12,67.3,67.7,718040
2017-01-18,68.01,68.5,67.77,68.28,810731
2017-01-19,68.12,68.46,67.83,68.21,858365
2017-01-20,68.5,68.79,68.29,68.6,1189096
2017-01-23,68.35,68.78,67.36,67.98,1233151
2017-01-24,68.29,68.94,68.01,68.76,2247541
2017-01-25,68.8,69.25,66.41,67.03,3163918
2017-01-26,67.49,67.49,66.26,66.64,1376461
2017-01-27,66.88,67.42,66.68,66.92,1425755
2017-01-30,66.99,67.06,66.3,66.98,1319258
2017-01-31,66.97,67.62,66.34,67.49,1857290
2017-02-01,67.52,67.66,66.36,66.6,1492263
2017-02-02,66.52,67.37,66.0,67.15,1345852
2017-02-03,67.4,67.68,66.99,67.46,1426541
2017-02-06,67.3,67.71,66.97,67.07,1706233
2017-02-07,67.33,67.82,67.18,67.29,1390299
2017-02-08,67.29,68.41,67.26,68.02,1558208
2017-02-09,68.03,68.78,68.02,68.29,1323173
2017-02-10,68.24,68.94,68.08,68.77,1116403
2017-02-13,69.03,69.22,68.81,68.97,1068340
2017-02-14,68.83,69.14,68.56,69.13,1049691
2017-02-15,68.85,69.22,68.57,69.02,1463608
2017-02-16,69.16,69.44,68.86,69.38,883946
2017-02-17,69.4,69.46,68.72,69.46,1103316
2017-02-21,69.38,69.69,69.15,69.58,1053473
2017-02-22,69.56,69.98,69.54,69.82,810086
2017-02-23,70.02,70.24,69.18,69.97,2454171
2017-02-24,69.55,70.23,69.41,70.18,1313385
2017-02-27,70.01,70.26,69.39,69.47,1190649
2017-02-28,69.36,69.4,68.98,69.21,1346502
2017-03-01,69.55,71.0,69.5,70.88,1511917
2017-03-02,70.77,70.98,70.4,70.48,815515
2017-03-03,70.41,70.65,70.23,70.47,910627
2017-03-06,70.07,70.42,70.04,70.13,914770
2017-03-07,70.22,70.5,69.96,70.27,668711
2017-03-08,70.14,70.59,69.92,70.38,932102
