Date,Open,High,Low,Close,Volume
2017-01-03,43.4,43.4,42.23,42.92,4079527
2017-01-04,43.1,44.13,42.95,43.98,2609439
2017-01-05,43.78,44.46,43.75,44.42,1936717
2017-01-06,44.65,44.72,43.65,43.69,2053797
2017-01-09,43.6,43.66,43.13,43.55,1847008
2017-01-10,43.63,44.02,43.27,43.73,1684664
2017-01-11,43.65,44.03,43.38,44.03,1577700
2017-01-12,43.92,44.51,43.27,44.43,2660790
2017-01-13,44.35,44.7,44.17,44.46,1874101
2017-01-17,44.24,44.65,44.07,44.4,1729725
2017-01-18,44.53,44.62,44.01,44.3,1736337
2017-01-19,44.3,44.95,43.66,43.73,2295410
2017-01-20,43.94,44.1,43.64,43.85,2351001
2017-01-23,43.84,44.22,43.46,43.75,2392563
2017-01-24,44.73,46.52,44.65,46.37,5150869
2017-01-25,46.66,47.45,46.45,46.93,3465376
2017-01-26,47.0,47.59,46.59,46.7,2890127
2017-01-27,46.55,46.64,45.62,45.79,2162977
2017-01-30,45.42,45.48,44.61,45.46,2316356
2017-01-31,45.29,45.31,44.27,44.65,3111055
2017-02-01,44.74,45.17,44.04,44.89,4335704
2017-02-02,44.93,45.21,44.54,44.81,1984124
2017-02-03,45.11,45.22,44.66,45.14,1997260
2017-02-06,45.05,45.36,44.65,44.77,1503338
2017-02-07,44.97,44.98,44.07,44.62,2077692
2017-02-08,44.62,45.35,44.52,45.19,2756883
2017-02-09,45.15,45.35,44.65,45.19,1984838
2017-02-10,46.03,46.97,45.69,46.81,2926629
2017-02-13,46.99,47.1,46.53,46.7,2335323
2017-02-14,46.6,46.7,45.78,46.21,2082889
2017-02-15,46.28,47.12,46.19,46.9,2058483
2017-02-16,46.79,47.07,46.14,46.18,1372732
2017-02-17,46.01,46.46,45.75,46.46,1233321
2017-02-21,46.72,47.05,46.52,47.02,1891706
2017-02-22,47.92,47.94,46.92,47.31,2412811
2017-02-23,47.59,47.59,46.71,47.15,1689694
2017-02-24,46.94,47.53,46.67,47.43,1846296
2017-02-27,47.43,48.5,47.22,48.37,2421737
2017-02-28,48.34,49.0,48.19,48.79,3498769
2017-03-01,49.15,50.44,49.12,50.01,3476863
2017-03-02,49.9,50.09,49.54,49.74,1601322
2017-03-03,49.58,50.08,49.09,49.9,3194095
2017-03-06,49.63,50.18,49.43,49.97,2565618
2017-03-07,50.08,50.81,49.8,50.71,2849913
2017-03-08,50.65,52.42,50.6,52.25,4528334
2017-03-09,52.25,52.9,51.29,51.93,4725451
2017-03-10,52.41,53.79,52.4,52.72,6098472
2017-03-13,52.85,53.0,51.89,51.92,3797350
2017-03-14,51.81,51.84,51.04,51.6,2375489
2017-03-15,51.86,52.29,51.24,52.13,2924273
2017-03-16,52.32,53.27,51.88,52.97,3674299
2017-03-17,52.91,53.28,52.63,52.83,3999989
2017-03-20,52.8,52.82,52.15,52.68,3447717
2017-03-21,52.16,52.4,50.82,51.27,4617105
2017-03-22,51.38,51.39,50.24,50.71,3206256
2017-03-23,50.77,51.34,50.64,50.86,1678199
2017-03-24,51.05,51.33,50.7,51.04,1864249
2017-03-27,50.37,51.1,50.22,50.98,1786437
2017-03-28,50.75,51.67,50.74,51.36,1564049
2017-03-29,51.03,51.66,51.03,51.5,1352541
2017-03-30,51.4,51.56,51.03,51.3,1580394
2017-03-31,51.2,51.38,51.02,51.19,1208994
