Date,Open,High,Low,Close,Volume
2017-01-03,55.56,56.17,54.75,55.49,4488017
2017-01-04,55.63,56.48,55.62,56.14,4005278
2017-01-05,55.96,56.1,54.58,54.9,3525232
2017-01-06,55.16,55.7,54.9,55.53,2977108
2017-01-09,55.19,55.7,54.76,55.24,2596931
2017-01-10,55.28,55.99,55.16,55.7,3133137
2017-01-11,55.64,56.03,55.21,56.03,2671496
2017-01-12,55.8,55.96,54.76,55.49,3136006
2017-01-13,55.93,56.97,55.72,55.97,2981199
2017-01-17,55.18,55.46,53.82,53.88,3412802
2017-01-18,54.05,54.4,53.56,54.36,3280070
2017-01-19,54.49,54.66,53.58,53.84,3232778
2017-01-20,54.14,55.28,53.86,54.84,6037621
2017-01-23,54.91,55.46,54.7,55.14,3712070
2017-01-24,55.32,56.68,54.9,56.48,4188876
2017-01-25,57.06,58.31,57.04,58.17,6020090
2017-01-26,58.08,58.72,57.8,58.26,3242931
2017-01-27,58.14,58.3,57.66,57.75,2426468
2017-01-30,57.45,57.46,56.57,57.27,2324743
2017-01-31,57.02,57.52,56.46,56.82,3300476
2017-02-01,57.45,57.9,56.92,57.14,3713601
2017-02-02,56.73,56.91,56.27,56.83,3386743
2017-02-03,57.74,58.09,57.28,57.97,3045707
2017-02-06,57.42,58.27,57.4,57.72,2289710
2017-02-07,57.93,58.04,57.28,57.4,2262622
2017-02-08,56.92,57.07,56.35,56.93,2630593
2017-02-09,57.25,58.13,56.94,57.73,3342823
2017-02-10,58.05,58.22,57.58,57.76,2639559
2017-02-13,58.0,58.73,57.89,58.14,3591969
2017-02-14,58.19,59.66,57.98,59.59,3799167
2017-02-15,59.83,60.31,59.46,60.04,3211214
2017-02-16,59.88,60.1,59.34,59.85,3242994
2017-02-17,59.2,59.61,59.08,59.59,2328439
2017-02-21,59.79,60.27,59.36,59.79,3227354
2017-02-22,59.41,60.28,59.36,59.78,3145556
2017-02-23,59.9,60.04,59.17,59.8,2447766
2017-02-24,59.09,59.45,58.86,59.29,3522323
2017-02-27,59.27,59.77,59.2,59.67,3268340
2017-02-28,59.25,59.62,58.99,59.49,3361301
2017-03-01,60.82,61.69,60.81,61.39,4605827
2017-03-02,61.54,61.63,59.68,59.73,3784448
2017-03-03,59.7,60.28,59.51,60.05,3217795
2017-03-06,59.49,59.91,58.96,59.67,3366021
2017-03-07,59.71,59.92,59.25,59.72,2942417
2017-03-08,60.35,60.64,59.3,59.39,3237501
2017-03-09,59.58,59.96,59.12,59.32,2248473
2017-03-10,59.57,59.7,58.47,58.94,3171904
2017-03-13,59.0,59.3,58.63,58.76,2726170
2017-03-14,58.51,58.67,58.02,58.64,3117741
2017-03-15,58.86,59.14,57.52,57.91,5630956
2017-03-16,58.13,58.68,57.94,58.36,3850662
2017-03-17,58.41,58.57,57.62,57.71,8368067
2017-03-20,57.6,58.07,57.24,57.27,3998704
2017-03-21,57.75,57.76,54.22,54.4,7813116
2017-03-22,54.0,54.8,53.33,54.18,6536329
2017-03-23,54.16,55.55,54.0,54.85,4844698
2017-03-24,55.13,55.26,54.24,54.81,3915248
2017-03-27,53.52,54.43,52.71,54.34,3519509
2017-03-28,54.22,55.46,54.19,55.1,3094341
2017-03-29,55.08,55.37,54.65,55.03,3045502
2017-03-30,55.14,56.34,54.99,56.08,3261490
2017-03-31,55.79,56.03,55.3,55.3,3273494
2017-04-03,55.6,55.64,54.56,55.46,3347271
2017-04-04,55.12,55.6,55.01,55.25,2316589
2017-04-05,55.77,56.32,54.74,54.8,3560873
2017-04-06,54.68,55.75,54.42,55.56,2858194
2017-04-07,55.05,55.7,54.92,55.35,2495162
2017-04-10,55.32,55.65,54.62,54.86,2606411
2017-04-11,54.4,54.97,54.14,54.97,3468162
2017-04-12,54.77,54.99,53.89,53.99,3216384
2017-04-13,53.78,54.69,53.2,53.45,5002174
2017-04-17,53.62,54.57,53.39,54.51,2933138
2017-04-18,54.0,54.46,53.3,53.8,3065049
2017-04-19,54.26,54.85,53.86,54.15,3399553
2017-04-20,54.67,55.73,54.51,55.49,5591870
2017-04-21,55.45,56.2,54.55,54.85,5868629
2017-04-24,56.42,57.13,56.28,56.8,5770780
2017-04-25,57.31,57.64,56.95,57.19,6553064
2017-04-26,57.07,58.2,56.97,57.68,5421538
2017-04-27,57.68,57.92,56.72,57.17,5667732
2017-04-28,57.12,57.48,56.78,56.81,4384070
2017-05-01,57.3,58.02,56.9,57.75,5212160
2017-05-02,57.75,57.82,56.93,57.15,3062867
2017-05-03,56.79,58.0,56.75,57.97,3097101
2017-05-04,58.54,58.75,57.68,57.93,3656395
2017-05-05,58.11,58.12,57.58,57.84,2602747
2017-05-08,57.98,58.38,57.81,58.16,2214948
2017-05-09,58.25,58.45,57.44,57.62,3426775
2017-05-10,57.48,57.83,57.38,57.6,2896259
2017-05-11,57.38,57.54,56.69,56.95,3091074
2017-05-12,56.46,56.65,55.75,56.33,2821975
2017-05-15,56.57,56.93,56.43,56.72,2351052
2017-05-16,56.96,57.09,56.34,57.04,2371889
2017-05-17,55.67,56.03,53.28,53.59,6114850
2017-05-18,53.61,54.41,53.54,54.07,4851039
2017-05-19,54.24,54.74,53.93,54.05,3485262
2017-05-22,54.3,54.48,53.79,54.24,2928783
2017-05-23,54.25,55.1,53.8,54.79,2631030
2017-05-24,54.92,54.92,54.34,54.55,2765448
2017-05-25,54.66,54.99,54.25,54.54,2250816
2017-05-26,54.27,54.57,54.14,54.32,3095092
2017-05-30,54.06,54.15,53.43,54.03,2926868
2017-05-31,54.15,54.18,52.69,53.37,5094340
2017-06-01,53.65,54.16,52.83,54.15,3631983
2017-06-02,53.51,53.97,53.32,53.49,4002195
2017-06-05,53.7,54.24,53.52,53.77,2807593
2017-06-06,53.23,53.68,52.86,53.4,3067985
2017-06-07,53.69,54.41,53.44,54.14,3116686
2017-06-08,54.03,55.64,53.86,55.19,4231900
2017-06-09,55.65,56.75,55.64,56.55,3980482
2017-06-12,56.67,57.12,55.78,56.2,3704828
2017-06-13,56.51,56.62,55.9,56.24,3798998
2017-06-14,55.63,56.48,55.15,56.43,3678370
2017-06-15,56.0,56.52,55.54,56.02,2719729
2017-06-16,55.99,56.31,55.74,56.15,4645717
2017-06-19,56.59,56.91,56.16,56.32,2012874
2017-06-20,56.01,56.16,55.64,55.7,2439018
2017-06-21,55.75,55.84,55.2,55.29,2849573
2017-06-22,55.17,55.17,54.41,54.73,2503485
2017-06-23,55.09,55.13,54.18,54.43,4440265
2017-06-26,54.61,55.24,54.29,54.81,2647863
2017-06-27,55.14,56.04,55.0,55.21,3284474
2017-06-28,55.74,56.33,55.63,56.09,3040673
2017-06-29,58.07,58.25,56.14,56.82,5388689
2017-06-30,57.05,57.13,56.34,56.72,3326898
