Date,Open,High,Low,Close,Volume
2017-01-03,182.99,187.77,181.92,186.6,1744833
2017-01-04,186.52,186.69,183.94,184.17,1405625
2017-01-05,185.2,186.95,183.65,185.7,1236930
2017-01-06,186.43,188.43,184.58,185.07,1140519
2017-01-09,183.94,184.81,181.06,182.6,1219060
2017-01-10,183.29,183.29,180.24,181.27,1386909
2017-01-11,182.35,184.33,179.82,182.89,1493889
2017-01-12,184.25,184.63,181.53,182.56,1061171
2017-01-13,181.46,182.84,180.55,181.97,900456
2017-01-17,182.6,183.4,180.0,181.02,1202767
2017-01-18,179.82,184.18,179.59,183.01,1643873
2017-01-19,183.0,186.33,183.0,183.95,1298347
2017-01-20,186.24,187.74,184.44,184.97,1289378
2017-01-23,183.6,185.14,181.16,182.9,1345067
2017-01-24,183.01,183.98,180.35,180.75,1830880
2017-01-25,180.35,181.91,179.85,180.27,1430911
2017-01-26,180.84,183.73,180.51,182.23,1218040
2017-01-27,181.17,182.11,180.45,181.46,1132463
2017-01-30,181.1,181.11,178.0,178.8,1393937
2017-01-31,179.26,180.3,177.74,180.23,1158551
2017-02-01,181.46,181.78,177.97,180.66,1480538
2017-02-02,180.66,183.49,178.14,183.46,1571058
2017-02-03,182.82,185.88,182.43,183.84,1356581
2017-02-06,184.61,185.72,180.0,181.08,2026230
2017-02-07,179.88,181.07,174.1,174.95,2141467
2017-02-08,175.18,183.68,168.13,181.68,4655546
2017-02-09,184.49,193.36,184.24,191.59,3825976
2017-02-10,193.62,195.0,192.33,194.46,2982741
2017-02-13,193.83,197.77,193.05,197.04,2507487
2017-02-14,197.3,199.83,194.47,198.9,1923318
2017-02-15,198.41,199.4,196.3,197.72,2306442
2017-02-16,197.97,198.65,192.9,193.21,1946014
2017-02-17,191.3,195.41,191.3,192.0,1569393
2017-02-21,194.39,196.91,193.5,193.66,2031540
2017-02-22,192.29,194.31,187.71,188.13,2131921
2017-02-23,191.0,191.02,184.3,184.94,2588702
2017-02-24,183.95,186.76,182.95,185.36,1932475
2017-02-27,187.13,187.89,185.45,186.72,1974480
2017-02-28,185.87,186.41,184.15,185.97,1528913
2017-03-01,188.5,194.08,187.93,193.52,2216739
2017-03-02,191.56,193.5,190.89,191.17,1433845
2017-03-03,190.78,194.57,190.63,194.18,1797270
2017-03-06,194.35,194.74,192.36,194.01,1311432
2017-03-07,194.31,196.0,192.91,193.94,1515873
2017-03-08,192.99,194.3,183.7,184.25,2726639
2017-03-09,182.57,188.09,181.67,187.75,3143512
2017-03-10,188.63,189.37,183.68,184.72,2339554
2017-03-13,185.0,185.82,183.62,184.41,1096719
2017-03-14,182.12,182.21,177.0,179.31,3869198
2017-03-15,181.11,185.11,178.2,184.14,2353073
2017-03-16,184.3,184.97,181.72,183.36,1344795
2017-03-17,184.97,186.23,184.51,184.79,1858009
2017-03-20,183.15,184.63,181.61,183.99,1441802
2017-03-21,185.33,186.39,181.71,182.3,1716336
2017-03-22,181.82,183.67,180.34,182.33,1195012
2017-03-23,182.09,184.09,181.14,181.55,1017023
2017-03-24,182.15,182.34,180.34,180.91,1022910
2017-03-27,178.47,181.06,178.04,180.4,1296787
2017-03-28,180.5,185.92,180.1,185.37,2078179
2017-03-29,185.5,189.23,184.29,188.32,1118617
2017-03-30,189.5,189.91,182.04,182.48,8114245
2017-03-31,183.19,186.83,183.0,186.23,2604952
2017-04-03,186.15,186.73,183.08,185.48,1943321
2017-04-04,186.6,187.88,184.38,187.81,1104762
2017-04-05,189.43,192.34,187.52,188.3,3121016
2017-04-06,188.83,190.96,187.91,190.44,1330445
2017-04-07,190.52,192.03,189.32,189.83,1089798
2017-04-10,190.52,192.93,190.0,190.34,1509303
2017-04-11,190.65,190.87,187.81,189.95,1075260
2017-04-12,189.98,191.03,186.18,186.9,1446559
2017-04-13,186.72,187.52,181.23,182.06,1374435
2017-04-17,182.51,183.26,181.01,183.01,1330117
2017-04-18,181.36,183.63,179.15,180.63,1406310
2017-04-19,180.72,181.34,173.81,175.06,1980477
2017-04-20,175.55,176.57,174.17,174.44,1664080
2017-04-21,173.97,175.8,172.0,174.63,1750315
2017-04-24,176.63,176.66,173.71,175.72,1534184
2017-04-25,177.23,179.1,175.87,178.35,1734474
2017-04-26,176.69,180.0,176.26,176.91,1133198
2017-04-27,175.21,176.07,170.59,172.36,2579272
2017-04-28,173.19,174.54,171.42,172.99,1874846
2017-05-01,173.34,173.72,171.16,172.43,1673176
2017-05-02,172.67,173.48,168.71,170.44,1599848
2017-05-03,170.05,172.63,169.49,170.81,2625768
2017-05-04,165.53,168.0,162.33,165.63,3850397
2017-05-05,166.32,170.34,165.77,169.61,2424746
2017-05-08,169.62,173.04,169.18,172.46,2231626
2017-05-09,172.34,172.87,168.91,169.48,1135666
2017-05-10,170.5,173.03,169.42,171.27,1538586
2017-05-11,172.69,172.9,170.51,171.26,1455524
2017-05-12,170.85,172.72,170.01,171.64,1305585
2017-05-15,175.11,175.66,173.3,173.85,1713790
2017-05-16,174.35,175.53,173.49,174.79,1869419
2017-05-17,172.63,175.54,172.55,173.24,1788407
2017-05-18,172.21,173.96,171.22,172.75,1586921
2017-05-19,173.71,177.86,172.99,176.62,1960236
2017-05-22,177.67,177.67,173.05,173.56,1228235
2017-05-23,173.0,174.15,171.52,173.74,1207523
2017-05-24,173.9,174.69,172.28,173.66,1200529
2017-05-25,172.55,174.97,167.11,168.62,1612956
2017-05-26,169.18,170.58,168.08,170.24,1109601
2017-05-30,168.81,169.02,165.0,165.08,1627301
2017-05-31,163.6,167.11,162.54,166.86,2305745
2017-06-01,167.48,168.63,165.65,166.97,1303369
2017-06-02,165.66,166.66,163.52,164.88,1604978
