Date,Open,High,Low,Close,Volume
2017-01-03,112.09,112.4,111.44,112.08,839019
2017-01-04,112.43,113.54,112.19,113.31,962435
2017-01-05,112.97,113.56,112.31,113.48,792293
2017-01-06,113.97,114.84,113.55,114.35,642056
2017-01-09,113.91,114.26,113.4,113.4,727165
2017-01-10,113.38,113.82,112.51,112.63,844153
2017-01-11,112.39,112.9,111.64,112.67,1079476
2017-01-12,112.03,112.79,111.45,112.67,695309
2017-01-13,113.04,113.81,113.04,113.29,598511
2017-01-17,112.78,114.07,112.25,113.62,901524
2017-01-18,114.0,114.23,113.24,114.05,960299
2017-01-19,114.32,115.0,112.25,112.28,1982609
2017-01-20,112.5,112.7,111.32,112.07,1580008
2017-01-23,111.97,112.37,111.3,111.7,763589
2017-01-24,112.26,112.72,111.82,112.21,1251486
2017-01-25,113.0,113.41,112.12,112.84,1361372
2017-01-26,112.94,113.28,112.59,112.95,930454
2017-01-27,113.18,113.39,112.39,113.39,854330
2017-01-30,112.85,112.85,110.89,112.07,876171
2017-01-31,111.94,112.71,111.48,112.7,1199346
2017-02-01,112.75,112.79,111.02,111.17,1750834
2017-02-02,110.6,112.51,109.82,112.48,1334637
2017-02-03,112.78,114.23,112.2,114.06,1426621
2017-02-06,113.27,114.38,113.02,114.08,782981
2017-02-07,114.61,114.64,114.02,114.25,808742
2017-02-08,113.71,114.43,113.22,114.36,752781
2017-02-09,114.57,115.2,114.3,115.17,1028434
2017-02-10,117.38,117.76,114.0,115.59,1213365
2017-02-13,115.53,116.16,115.28,115.87,950213
2017-02-14,115.68,116.04,114.96,115.85,793066
2017-02-15,115.74,116.7,115.3,116.56,739731
2017-02-16,116.7,117.36,116.45,117.28,719443
2017-02-17,116.89,117.64,115.9,117.53,962814
2017-02-21,117.38,117.8,115.22,115.57,1471113
2017-02-22,115.61,116.43,114.92,115.6,1091063
2017-02-23,115.82,116.48,115.57,116.19,898247
2017-02-24,115.16,116.56,115.16,116.56,712667
2017-02-27,116.82,117.18,116.02,116.37,494192
2017-02-28,116.12,116.33,115.32,115.65,1212429
2017-03-01,117.5,117.89,116.45,117.51,917009
2017-03-02,117.55,117.66,116.33,116.46,783869
2017-03-03,116.37,116.79,116.01,116.48,762400
2017-03-06,115.8,116.6,115.66,115.71,729556
2017-03-07,115.52,115.99,115.03,115.54,774063
2017-03-08,116.0,116.2,114.95,115.62,1046205
2017-03-09,115.76,116.8,115.49,116.33,1175250
2017-03-10,116.56,117.95,116.3,117.86,1582594
