Date,Open,High,Low,Close,Volume
2017-01-03,48.03,48.64,47.7,47.96,6196395
2017-01-04,48.25,48.74,48.08,48.71,7735286
2017-01-05,48.5,48.96,47.58,48.09,5295466
2017-01-06,47.94,48.44,47.64,48.17,4533841
2017-01-09,47.85,48.04,47.49,47.64,5185406
2017-01-10,47.75,48.15,47.6,47.72,4556360
2017-01-11,47.64,48.05,47.29,48.03,4029902
2017-01-12,47.81,47.96,47.02,47.46,4387536
2017-01-13,47.73,48.16,47.54,47.74,4780554
2017-01-17,47.38,47.46,46.38,46.43,5231554
2017-01-18,46.47,46.51,45.46,46.23,8421952
2017-01-19,46.35,46.56,44.69,44.84,12816630
2017-01-20,44.69,45.09,44.22,44.56,13056536
2017-01-23,44.41,44.76,43.85,43.87,8209191
2017-01-24,44.07,44.83,43.89,44.63,6029919
2017-01-25,45.05,45.22,44.4,44.91,7333789
2017-01-26,45.05,45.18,44.74,44.97,6699954
2017-01-27,44.83,44.96,44.48,44.78,5863733
2017-01-30,44.51,44.68,44.23,44.67,6221527
2017-01-31,44.53,44.86,44.4,44.73,6420601
2017-02-01,45.07,45.38,44.9,45.02,9078493
2017-02-02,44.65,45.08,44.5,44.8,5359963
2017-02-03,45.43,45.92,45.18,45.67,6939150
2017-02-06,45.34,45.95,45.3,45.66,3915011
2017-02-07,45.87,45.93,45.34,45.45,3584753
2017-02-08,45.2,45.33,44.91,45.14,4602018
2017-02-09,45.31,45.64,45.19,45.5,4378455
2017-02-10,45.55,45.72,45.42,45.56,3975182
2017-02-13,45.9,46.27,45.88,46.12,4297189
2017-02-14,46.13,46.86,46.1,46.82,4710850
2017-02-15,47.02,47.53,46.8,47.43,4833059
2017-02-16,47.36,47.47,46.91,47.07,3501676
2017-02-17,46.71,47.15,46.46,47.14,3669893
2017-02-21,47.25,47.64,47.23,47.5,4484110
2017-02-22,47.27,47.55,47.08,47.29,3935684
2017-02-23,47.31,47.39,47.02,47.34,3637919
2017-02-24,46.91,47.1,46.71,47.09,3896977
2017-02-27,47.03,47.36,47.02,47.11,3799654
2017-02-28,46.97,47.19,46.68,47.14,6080837
2017-03-01,47.98,48.78,47.88,48.5,8605706
2017-03-02,48.51,48.51,47.67,47.99,6263303
2017-03-03,47.83,48.22,47.75,47.95,6140887
2017-03-06,47.74,47.93,47.53,47.9,4192258
2017-03-07,47.9,47.99,47.59,47.67,3791247
2017-03-08,48.24,48.45,47.96,48.19,5157624
2017-03-09,48.26,48.47,47.8,47.93,4497934
2017-03-10,48.28,48.36,47.76,48.17,3632079
2017-03-13,48.27,48.53,48.13,48.35,3991715
2017-03-14,48.2,48.38,47.81,48.26,3704375
2017-03-15,48.5,48.75,48.21,48.33,4420247
2017-03-16,48.45,48.74,48.34,48.47,3668994
2017-03-17,48.64,48.65,47.82,47.91,7792730
2017-03-20,47.68,47.76,47.2,47.21,4274711
2017-03-21,47.48,47.49,46.11,46.42,8262901
2017-03-22,46.19,46.32,45.72,46.16,6039835
2017-03-23,46.12,46.68,45.93,46.28,4963197
2017-03-24,46.41,46.6,45.93,46.25,3545156
2017-03-27,45.29,46.3,45.12,46.25,4730774
2017-03-28,46.09,47.33,46.06,47.0,3133419
2017-03-29,47.0,47.04,46.68,46.72,2901550
2017-03-30,46.8,47.65,46.63,47.53,3100927
2017-03-31,47.32,47.61,47.2,47.23,2854172
2017-04-03,47.23,47.39,46.3,47.13,5268322
2017-04-04,46.98,47.32,46.79,46.97,3686451
2017-04-05,47.31,47.95,46.96,47.0,4125049
2017-04-06,46.96,47.49,46.67,47.31,3242340
2017-04-07,46.94,47.47,46.85,47.15,3084043
2017-04-10,47.15,47.4,46.84,47.06,3206457
2017-04-11,46.81,47.26,46.6,47.26,3924370
2017-04-12,47.04,47.17,46.66,46.89,3753251
2017-04-13,46.83,47.16,46.37,46.42,3825403
2017-04-17,46.66,47.12,46.29,47.05,3237517
2017-04-18,46.82,47.08,46.5,46.89,4593636
2017-04-19,47.27,47.36,46.62,46.86,4655656
2017-04-20,47.27,47.5,45.88,46.65,8722685
2017-04-21,46.73,47.26,46.62,46.75,7470928
2017-04-24,47.75,48.02,47.51,47.55,4984972
2017-04-25,47.86,48.07,47.17,47.23,6326104
2017-04-26,47.25,47.64,47.07,47.15,6457215
2017-04-27,47.25,47.45,46.88,47.22,4330096
2017-04-28,47.06,47.49,46.95,47.06,4149666
2017-05-01,47.25,47.59,46.98,47.18,4416222
2017-05-02,47.24,47.32,46.8,47.12,4808860
2017-05-03,46.88,47.46,46.79,47.4,3307207
2017-05-04,47.8,47.84,47.34,47.61,4659912
2017-05-05,47.68,47.77,47.41,47.65,2740091
2017-05-08,47.74,47.92,47.54,47.68,3254938
2017-05-09,47.7,47.83,46.9,47.12,4894068
2017-05-10,47.04,47.18,46.9,47.16,5013657
2017-05-11,46.9,47.16,46.58,46.93,5357131
2017-05-12,46.64,46.78,46.34,46.76,6998891
2017-05-15,46.84,47.21,46.84,47.11,4431031
2017-05-16,47.17,47.3,46.94,47.18,3881667
2017-05-17,46.42,46.79,46.06,46.29,8637633
2017-05-18,46.24,46.66,46.17,46.2,6574730
2017-05-19,46.41,46.78,46.28,46.54,5896743
2017-05-22,46.76,46.87,46.49,46.8,3791598
2017-05-23,46.79,47.22,46.61,47.03,3339943
2017-05-24,47.18,47.2,46.72,46.96,3315780
2017-05-25,47.14,47.52,47.04,47.38,4328141
2017-05-26,47.16,47.59,47.1,47.41,3552530
2017-05-30,47.22,47.28,46.84,47.1,5535812
2017-05-31,47.1,47.28,46.6,47.12,7474930
2017-06-01,47.21,47.46,46.91,47.42,5793865
2017-06-02,47.11,47.7,47.07,47.51,5914126
2017-06-05,47.6,47.96,47.5,47.54,4560356
2017-06-06,47.13,47.36,46.77,47.23,7250778
2017-06-07,47.32,48.0,47.21,47.9,5634277
2017-06-08,47.91,48.69,47.88,48.39,5542273
2017-06-09,48.67,49.46,48.5,49.4,5112917
2017-06-12,49.26,49.66,48.97,49.1,3779427
2017-06-13,49.35,49.75,49.26,49.57,4104430
2017-06-14,49.13,49.85,49.0,49.77,3556494
2017-06-15,49.5,49.92,49.45,49.78,3288776
2017-06-16,49.82,49.94,49.63,49.89,5546209
2017-06-19,50.0,50.39,49.92,50.28,3335864
2017-06-20,50.14,50.32,49.86,49.86,3855386
2017-06-21,50.0,50.0,49.54,49.59,3285692
2017-06-22,49.5,49.74,49.29,49.55,2636468
2017-06-23,49.71,49.71,49.01,49.17,5800657
2017-06-26,49.35,49.64,49.18,49.55,3301575
2017-06-27,49.83,50.01,49.63,49.68,3653977
2017-06-28,49.99,50.77,49.96,50.6,4606691
2017-06-29,51.54,51.59,50.55,51.01,5053290
2017-06-30,51.43,51.43,50.84,51.02,3461715
2017-07-03,51.31,52.06,51.26,51.83,2583968
2017-07-05,52.03,52.34,51.62,52.27,3957736
2017-07-06,52.2,52.23,51.2,51.23,5161174
2017-07-07,51.42,51.85,51.23,51.75,3130383
2017-07-10,51.67,52.08,51.61,51.88,2310538
2017-07-11,51.88,51.95,51.45,51.47,3141981
2017-07-12,51.21,51.46,51.14,51.45,3053699
2017-07-13,51.55,52.08,51.43,52.06,2784774
