Date,Open,High,Low,Close,Volume
2017-01-03,161.95,165.29,161.5,165.15,1696651
2017-01-04,165.46,165.9,164.43,164.94,1182777
2017-01-05,163.81,165.32,163.36,164.8,1128673
2017-01-06,165.29,168.58,164.94,167.89,1051745
2017-01-09,168.23,169.67,168.03,168.87,1165422
2017-01-10,168.56,172.9,168.37,170.94,1271745
2017-01-11,170.51,173.74,168.86,173.71,1641096
2017-01-12,172.87,173.69,170.57,173.49,1040606
2017-01-13,173.4,174.16,172.26,173.35,646651
2017-01-17,172.53,173.87,171.31,173.42,609898
2017-01-18,173.92,174.09,172.69,173.98,909925
2017-01-19,173.3,174.21,172.68,173.52,1796962
2017-01-20,173.78,174.34,172.03,172.29,1466632
2017-01-23,172.41,173.68,170.8,170.88,801629
2017-01-24,171.38,171.79,169.19,170.36,784096
2017-01-25,170.89,172.11,170.45,171.57,949795
2017-01-26,171.6,172.44,170.52,171.09,751196
2017-01-27,172.31,175.9,171.86,175.28,898053
2017-01-30,175.4,175.4,173.53,174.82,984338
2017-01-31,174.41,177.54,174.13,177.29,1545738
2017-02-01,175.88,179.14,174.35,178.97,1716115
2017-02-02,181.0,181.44,176.74,177.97,1285417
2017-02-03,178.75,179.45,177.58,179.37,1170296
2017-02-06,178.63,178.94,177.65,178.36,723980
2017-02-07,179.0,180.0,178.48,178.81,857215
2017-02-08,178.04,179.02,177.44,178.06,536752
2017-02-09,178.06,179.04,176.65,177.81,1439343
2017-02-10,177.81,178.68,177.54,178.03,598005
2017-02-13,178.52,178.91,177.72,178.55,441790
2017-02-14,178.44,179.0,177.72,178.77,655829
2017-02-15,177.92,180.49,177.92,180.09,855048
2017-02-16,180.24,180.9,178.92,180.62,920987
2017-02-17,180.2,180.9,179.32,180.9,810321
2017-02-21,181.5,182.65,179.91,182.02,943721
2017-02-22,181.33,182.58,181.13,181.95,649887
2017-02-23,182.23,182.85,181.55,182.3,612708
2017-02-24,181.98,183.42,181.14,183.42,657562
2017-02-27,183.16,183.88,182.33,182.82,698358
2017-02-28,182.95,183.88,182.45,183.05,642469
2017-03-01,183.66,186.11,182.79,185.34,759100
2017-03-02,185.0,185.32,183.85,184.73,507442
2017-03-03,184.18,184.94,183.82,184.69,606571
2017-03-06,183.72,184.92,183.22,184.49,812859
2017-03-07,183.76,184.52,182.8,183.94,622243
2017-03-08,182.29,184.62,182.27,184.06,822446
2017-03-09,183.89,185.54,183.44,185.07,870684
2017-03-10,185.22,185.7,184.32,185.31,737911
2017-03-13,185.09,185.44,183.92,184.9,832077
2017-03-14,184.36,184.65,182.06,182.98,1035605
2017-03-15,183.6,184.76,182.86,184.54,1227802
2017-03-16,183.45,183.95,180.1,181.37,1609762
2017-03-17,181.69,184.22,181.23,183.79,1842549
2017-03-20,184.12,184.2,182.09,182.63,788798
2017-03-21,183.28,183.99,180.4,181.32,1180851
2017-03-22,181.9,183.88,180.51,182.64,1331002
2017-03-23,182.15,185.0,181.76,183.71,1088911
2017-03-24,183.67,185.09,183.42,183.87,658057
2017-03-27,183.1,184.4,182.09,183.76,818512
2017-03-28,183.47,184.32,182.31,183.92,660815
2017-03-29,183.21,184.47,182.58,183.87,454533
2017-03-30,183.59,184.39,182.67,183.71,548452
2017-03-31,183.17,183.89,182.6,183.44,716559
2017-04-03,184.0,185.21,182.63,184.28,617086
2017-04-04,184.4,184.4,182.31,183.07,754741
2017-04-05,183.77,184.93,182.95,183.31,703319
2017-04-06,183.08,183.8,182.34,183.4,713464
2017-04-07,183.5,184.6,183.43,184.11,635743
2017-04-10,185.07,185.07,183.35,184.04,1041686
2017-04-11,183.43,184.43,182.71,183.78,514763
2017-04-12,182.91,183.94,182.46,183.22,715887
2017-04-13,182.8,183.77,182.59,182.59,582790
2017-04-17,183.23,184.1,182.77,183.96,423884
2017-04-18,183.31,183.88,182.18,183.38,543967
2017-04-19,184.27,184.89,183.8,184.16,545381
2017-04-20,184.14,186.4,183.33,186.05,627168
2017-04-21,185.99,186.14,184.25,185.29,577681
2017-04-24,179.0,180.26,175.66,177.07,9752090
2017-04-25,178.52,180.79,177.3,179.07,4023521
2017-04-26,179.7,180.13,178.28,179.81,2552552
2017-04-27,179.97,182.85,179.43,182.55,2207018
2017-04-28,182.09,187.2,181.67,186.97,3770920
2017-05-01,186.38,187.63,184.84,186.38,2404223
