Date,Open,High,Low,Close,Volume
2017-01-03,25.38,25.39,25.08,25.38,3131292
2017-01-04,25.47,25.97,25.39,25.96,4072108
2017-01-05,25.71,26.1,25.61,26.07,2550031
2017-01-06,26.06,26.16,25.86,25.88,1777308
2017-01-09,26.1,26.15,25.54,25.57,2952136
2017-01-10,25.53,25.57,25.13,25.14,2394568
2017-01-11,25.05,25.22,24.91,24.95,2583070
2017-01-12,24.95,25.44,24.72,25.35,2930188
2017-01-13,25.3,25.47,25.06,25.33,2405379
2017-01-17,25.32,25.57,25.29,25.54,2542295
2017-01-18,25.51,25.7,25.32,25.5,1966906
2017-01-19,25.39,25.48,24.91,24.98,2478798
2017-01-20,25.0,25.19,24.89,25.15,2018901
2017-01-23,25.17,25.42,25.07,25.35,2940117
2017-01-24,25.37,25.46,25.16,25.4,2294287
2017-01-25,25.41,25.48,25.06,25.12,2522630
2017-01-26,25.19,25.4,25.0,25.08,2358359
2017-01-27,25.13,25.14,24.65,24.81,2871910
2017-01-30,24.77,24.91,24.56,24.76,4109085
2017-01-31,24.81,25.18,24.74,24.89,7566716
2017-02-01,24.88,25.08,24.51,24.57,3081071
2017-02-02,24.52,24.91,24.43,24.87,3688830
2017-02-03,25.1,25.1,24.26,24.85,5493182
2017-02-06,24.85,24.96,24.67,24.76,2615494
2017-02-07,24.71,24.87,24.28,24.31,3597000
2017-02-08,24.31,24.63,24.27,24.61,3462684
2017-02-09,24.66,24.83,24.58,24.79,2393471
2017-02-10,24.76,25.08,24.71,25.04,2034490
2017-02-13,24.97,25.15,24.76,24.91,2136473
2017-02-14,24.88,24.88,24.58,24.68,2783686
2017-02-15,24.65,24.65,24.02,24.14,3896300
2017-02-16,24.21,24.53,24.1,24.23,3923995
2017-02-17,24.24,24.36,24.04,24.33,3157878
2017-02-21,24.32,24.71,24.2,24.65,2001319
2017-02-22,24.65,24.75,24.26,24.35,2947223
2017-02-23,24.43,24.51,24.2,24.48,2635077
2017-02-24,24.46,24.47,24.07,24.38,3208465
2017-02-27,24.44,24.68,24.29,24.45,3673362
2017-02-28,24.41,24.6,24.15,24.25,9280492
2017-03-01,24.11,24.11,23.68,23.76,3998688
2017-03-02,23.68,23.75,23.41,23.53,4274210
2017-03-03,23.62,23.65,23.0,23.38,5274796
2017-03-06,23.31,23.31,23.0,23.16,4976046
2017-03-07,23.12,23.17,22.73,22.75,3138957
2017-03-08,22.65,22.65,22.12,22.24,4057991
