Date,Open,High,Low,Close,Volume
2017-01-03,178.29,180.9,176.54,178.34,3209813
2017-01-04,178.26,179.0,176.68,177.07,2396470
2017-01-05,176.33,177.0,173.88,174.28,2486093
2017-01-06,174.21,176.9,173.31,176.59,2314304
2017-01-09,176.65,178.3,176.64,176.97,2026589
2017-01-10,177.49,180.74,176.9,180.57,3018327
2017-01-11,180.05,180.47,177.76,179.42,1878705
2017-01-12,178.09,179.1,175.4,178.86,2313737
2017-01-13,178.9,180.78,178.39,180.45,2090697
2017-01-17,179.48,179.63,177.56,179.11,2631606
2017-01-18,180.36,185.07,180.0,185.02,3564175
2017-01-19,185.1,186.88,184.68,185.56,4571813
2017-01-20,188.6,191.54,188.1,191.08,5762335
2017-01-23,191.01,191.53,188.42,191.0,3339436
2017-01-24,192.72,199.64,192.28,197.75,6200772
2017-01-25,199.92,202.59,198.03,202.48,6090259
2017-01-26,204.44,205.27,201.13,204.17,3882680
2017-01-27,205.38,205.79,203.54,205.71,2578653
2017-01-30,204.45,204.87,200.61,203.22,3323406
2017-01-31,202.47,202.47,198.86,199.5,2674941
2017-02-01,202.25,204.48,200.21,203.69,3118392
2017-02-02,201.97,205.03,201.0,204.05,2271170
2017-02-03,204.95,206.6,203.03,206.16,2437317
2017-02-06,206.15,206.66,204.3,206.56,1871607
2017-02-07,207.21,207.4,204.93,205.91,2284021
2017-02-08,205.97,208.75,205.16,206.89,2106897
2017-02-09,207.33,207.69,203.63,205.34,2751924
2017-02-10,206.0,206.5,203.85,205.52,2384206
2017-02-13,206.78,207.11,205.17,206.71,1246341
2017-02-14,206.99,207.0,204.8,205.33,1735780
2017-02-15,205.82,206.94,204.8,205.99,1708766
2017-02-16,206.46,208.22,205.18,208.18,1718799
2017-02-17,209.0,210.41,206.82,210.41,3094524
2017-02-21,211.0,213.62,210.91,212.75,3033314
2017-02-22,213.0,214.93,211.5,214.16,2394863
2017-02-23,215.08,215.96,209.64,210.58,2936386
2017-02-24,208.38,210.64,202.61,210.37,2765081
2017-02-27,210.67,213.45,210.19,213.28,2699102
2017-02-28,214.14,214.34,210.3,210.93,2754779
2017-03-01,213.07,215.39,210.56,215.14,5115465
2017-03-02,224.11,224.98,216.02,217.29,7117112
2017-03-03,218.0,220.0,217.7,218.32,3077077
2017-03-06,216.37,218.53,215.17,217.94,2277121
2017-03-07,217.34,221.37,217.09,219.25,2912919
2017-03-08,219.22,221.24,218.55,219.63,2454365
2017-03-09,218.78,222.86,218.12,222.01,2567522
2017-03-10,222.73,226.41,222.73,226.35,3943043
2017-03-13,225.86,227.75,225.36,226.45,2666904
2017-03-14,224.76,226.28,223.51,224.35,2216720
2017-03-15,224.33,226.65,223.24,225.93,2072680
2017-03-16,225.48,225.82,221.57,222.36,2783456
2017-03-17,223.52,223.71,220.85,221.18,5163480
2017-03-20,221.18,222.64,220.78,221.24,1721474
2017-03-21,222.24,222.98,215.52,216.02,3055726
2017-03-22,216.02,218.37,215.39,217.42,1913093
2017-03-23,217.26,218.46,216.42,216.86,1922274
2017-03-24,218.01,221.4,217.74,218.97,2379356
2017-03-27,216.83,220.18,215.97,219.05,1535762
2017-03-28,218.51,221.78,218.35,220.95,1792867
2017-03-29,220.8,221.35,219.68,221.31,1592716
2017-03-30,221.9,224.45,218.86,220.04,3416840
2017-03-31,219.99,220.99,218.03,218.96,2589661
2017-04-03,219.0,219.99,216.66,218.8,1921017
2017-04-04,218.17,220.41,217.88,218.96,1263393
2017-04-05,219.54,220.5,216.8,217.13,1568971
2017-04-06,216.7,218.46,215.59,217.5,1461530
2017-04-07,217.5,219.84,217.04,218.25,1641796
2017-04-10,217.07,219.05,216.26,218.02,1799417
2017-04-11,216.56,218.4,214.03,217.55,2221897
2017-04-12,215.67,216.14,208.44,209.2,6102582
2017-04-13,209.21,213.97,209.0,211.32,4257943
2017-04-17,212.38,214.36,212.19,213.87,1450730
2017-04-18,213.06,213.71,212.06,213.1,848590
2017-04-19,213.78,214.83,213.26,213.63,1208146
2017-04-20,215.0,219.12,214.22,218.21,1691619
2017-04-21,217.42,218.33,216.16,217.66,1468342
2017-04-24,220.69,221.9,219.68,221.24,1753914
2017-04-25,222.02,224.0,221.95,223.2,1484833
2017-04-26,223.49,223.93,220.87,221.68,1472625
2017-04-27,222.89,224.09,222.06,223.09,1184979
