Date,Open,High,Low,Close,Volume
2017-01-03,67.74,68.04,67.25,67.63,5799537
2017-01-04,68.17,68.79,67.76,67.85,7552957
2017-01-05,67.97,68.27,67.49,67.93,8173433
2017-01-06,67.94,68.32,67.78,68.23,4925919
2017-01-09,68.23,68.33,67.86,67.95,4815853
2017-01-10,68.14,68.17,67.55,67.72,5226839
2017-01-11,67.78,68.08,67.54,67.65,5618686
2017-01-12,67.47,67.69,67.28,67.51,5006974
2017-01-13,67.48,67.69,67.28,67.58,4073116
2017-01-17,67.82,68.52,67.54,68.48,9012470
2017-01-18,68.56,69.2,68.55,69.16,8063446
2017-01-19,69.14,69.6,69.01,69.55,7853618
2017-01-20,69.66,70.11,69.65,70.01,10188176
2017-01-23,70.22,70.63,70.0,70.55,6508808
2017-01-24,70.55,70.79,70.4,70.76,6510514
2017-01-25,71.04,71.22,70.77,70.96,6112694
2017-01-26,71.07,71.1,70.64,70.85,5969712
2017-01-27,70.85,71.05,70.6,71.03,5915750
2017-01-30,70.98,71.39,70.82,71.3,8574650
2017-01-31,71.33,71.44,70.97,71.18,11463030
2017-02-01,69.96,72.0,68.8,71.39,11416270
2017-02-02,71.66,72.08,71.33,71.45,8108466
2017-02-03,71.49,71.96,71.07,71.49,6817367
2017-02-06,71.4,71.8,71.29,71.29,5192543
2017-02-07,71.53,72.27,71.49,72.2,5239941
2017-02-08,72.11,72.59,72.04,72.15,4848465
2017-02-09,72.07,72.55,71.91,72.49,5183179
2017-02-10,72.39,72.58,72.17,72.42,4154904
2017-02-13,72.47,72.59,71.99,72.04,5175932
2017-02-14,72.0,72.21,71.68,71.88,5120224
2017-02-15,71.72,72.27,71.53,72.17,5222302
2017-02-16,72.17,72.71,72.0,72.71,5593983
2017-02-17,72.4,72.98,72.38,72.97,5568728
2017-02-21,72.79,73.73,72.75,73.65,5329322
2017-02-22,73.55,73.76,73.29,73.6,4401162
2017-02-23,73.81,74.55,73.69,74.46,4116768
2017-02-24,74.36,74.71,74.26,74.43,4959965
2017-02-27,74.48,74.76,74.44,74.59,6319978
2017-02-28,74.32,75.14,74.3,74.92,7160929
2017-03-01,74.98,75.75,74.67,75.6,6044058
2017-03-02,75.52,76.04,75.27,75.72,7491110
2017-03-03,75.8,75.8,74.96,75.57,6044148
2017-03-06,75.55,75.61,74.96,75.58,5762373
2017-03-07,75.27,76.3,75.27,76.1,6108348
2017-03-08,75.79,76.12,75.56,75.84,4863056
2017-03-09,75.99,76.44,75.9,76.19,5344947
2017-03-10,76.42,76.54,76.13,76.45,6877458
2017-03-13,75.94,76.2,75.39,75.65,6836239
2017-03-14,75.71,75.8,75.14,75.34,8255535
2017-03-15,75.58,75.82,75.11,75.67,8470799
2017-03-16,75.83,75.84,75.17,75.3,5706822
2017-03-17,75.42,75.87,75.15,75.16,9946963
2017-03-20,75.26,75.85,75.26,75.58,5793132
2017-03-21,75.72,76.2,75.63,75.93,6487965
2017-03-22,76.07,76.38,75.06,75.07,7679961
2017-03-23,73.92,74.7,73.54,74.02,10714382
2017-03-24,73.67,73.72,73.03,73.17,11785992
2017-03-27,72.72,73.46,72.44,73.2,6421294
2017-03-28,72.97,73.28,72.84,73.19,5587269
2017-03-29,73.12,73.17,72.78,72.96,4211134
2017-03-30,72.89,72.95,72.05,72.05,7907875
2017-03-31,72.03,72.18,71.42,71.42,9145956
2017-04-03,71.6,71.98,70.78,71.62,7508282
2017-04-04,71.72,71.97,71.48,71.95,5218465
2017-04-05,72.26,72.32,71.76,71.93,7092361
2017-04-06,71.9,71.9,71.22,71.42,6398942
2017-04-07,71.48,72.2,71.48,71.71,4331142
2017-04-10,71.98,72.03,71.61,71.76,5576763
2017-04-11,71.78,72.3,71.78,72.08,4472754
2017-04-12,72.25,72.3,71.91,72.16,5131487
2017-04-13,71.94,72.09,71.28,71.3,5120571
2017-04-17,71.33,72.33,71.33,72.31,4781808
2017-04-18,72.3,72.75,72.25,72.34,5010452
2017-04-19,72.28,72.44,72.03,72.11,3374297
2017-04-20,71.56,71.7,71.23,71.41,5736783
2017-04-21,71.35,71.98,71.35,71.47,6814877
2017-04-24,71.89,72.69,71.78,72.55,5590225
2017-04-25,72.54,72.6,72.32,72.43,6748003
2017-04-26,72.4,72.4,71.47,71.51,7477875
2017-04-27,71.5,71.73,71.32,71.53,4857278
2017-04-28,71.4,71.8,71.16,71.78,4089931
2017-05-01,71.75,71.8,70.8,70.8,6380697
2017-05-02,70.05,71.59,69.79,70.83,8482098
2017-05-03,70.7,70.92,70.12,70.22,5869836
2017-05-04,70.47,70.87,70.29,70.31,6309348
2017-05-05,70.55,70.95,70.45,70.92,4499552
2017-05-08,70.82,71.08,70.64,70.71,4455247
2017-05-09,70.85,70.93,69.95,70.29,5170828
2017-05-10,70.27,70.46,70.03,70.31,5205780
2017-05-11,70.08,70.55,69.99,70.48,4073228
2017-05-12,70.43,70.88,70.43,70.65,3401384
2017-05-15,70.38,70.8,70.11,70.67,4951532
2017-05-16,70.8,71.46,70.8,70.95,4234224
2017-05-17,70.85,71.23,70.53,70.55,5313775
2017-05-18,70.63,70.85,70.26,70.54,5352267
2017-05-19,70.47,71.13,70.44,70.9,5459951
2017-05-22,71.0,72.12,71.0,72.04,7974560
2017-05-23,72.09,72.72,72.04,72.13,6492751
2017-05-24,72.41,72.97,72.08,72.85,4829316
2017-05-25,73.03,74.63,73.0,74.14,7524988
2017-05-26,74.08,74.47,73.9,74.41,5680989
2017-05-30,74.56,75.19,74.32,75.07,6074951
2017-05-31,75.24,75.44,74.51,75.44,18510123
2017-06-01,75.08,75.4,74.6,75.4,6831538
2017-06-02,75.33,75.42,74.8,75.12,7908924
2017-06-05,75.14,75.26,74.85,75.06,6149372
2017-06-06,74.88,75.33,74.71,75.27,5779340
2017-06-07,75.2,75.96,75.18,75.61,5019550
2017-06-08,75.54,75.66,74.82,75.21,5453098
2017-06-09,75.06,75.56,75.0,75.46,5637666
2017-06-12,75.38,75.55,74.99,75.4,5951545
2017-06-13,74.72,74.99,74.47,74.95,5196451
2017-06-14,75.34,76.0,75.09,75.75,6227048
2017-06-15,75.62,76.48,75.34,76.41,4746947
2017-06-16,76.67,77.29,76.32,77.28,9783874
2017-06-19,77.38,77.78,77.2,77.71,4612291
2017-06-20,77.63,77.79,77.29,77.33,3660761
2017-06-21,77.4,77.63,76.84,77.03,4394959
2017-06-22,76.98,76.98,76.39,76.48,4232037
2017-06-23,76.4,76.93,76.4,76.49,3876672
2017-06-26,76.54,77.0,76.42,76.53,3969222
2017-06-27,76.37,76.44,75.18,75.38,5488097
2017-06-28,75.75,76.06,75.49,75.84,3377910
2017-06-29,75.54,75.76,74.12,74.4,5467695
2017-06-30,74.68,74.83,74.36,74.47,5157987
2017-07-03,74.71,74.91,74.38,74.53,2452308
2017-07-05,74.51,74.98,74.41,74.61,4015194
2017-07-06,74.35,74.55,74.17,74.32,3394213
2017-07-07,74.6,74.62,73.92,74.25,3933109
2017-07-10,74.36,74.67,73.45,73.69,4937398
2017-07-11,73.85,73.96,73.28,73.43,5513168
2017-07-12,73.72,74.07,73.69,73.89,3698350
2017-07-13,73.86,74.0,73.4,73.48,4004905
