Date,Open,High,Low,Close,Volume
2017-01-03,29.83,30.19,29.64,29.84,7665031
2017-01-04,29.91,30.01,29.51,29.76,9538779
2017-01-05,29.73,30.08,29.61,30.01,9062195
2017-01-06,29.97,31.16,29.78,31.05,13351423
2017-01-09,31.0,31.03,30.6,30.75,10532655
2017-01-10,30.67,30.72,29.84,30.25,13833143
2017-01-11,30.3,30.42,30.01,30.41,8168999
2017-01-12,30.8,30.8,30.1,30.35,7890497
2017-01-13,30.21,30.35,29.84,30.29,7822793
2017-01-17,30.33,30.69,30.11,30.29,7447149
2017-01-18,30.29,30.48,30.14,30.39,9523703
2017-01-19,30.26,30.84,30.19,30.72,14112364
2017-01-20,30.84,30.96,30.52,30.64,8496268
2017-01-23,30.64,30.65,30.06,30.27,9341136
2017-01-24,30.3,30.33,29.7,29.99,16925426
2017-01-25,30.25,30.5,30.11,30.23,25216974
2017-01-26,32.37,32.85,31.54,31.74,32044354
2017-01-27,31.95,32.61,31.36,32.51,17406740
2017-01-30,32.23,32.28,31.8,32.17,11247659
2017-01-31,31.89,32.0,31.53,31.83,9469076
2017-02-01,31.9,32.24,31.83,32.18,9700776
2017-02-02,32.06,32.21,31.86,31.97,6028585
2017-02-03,32.11,32.2,31.91,32.07,5423500
2017-02-06,32.01,32.24,31.86,32.03,5339846
2017-02-07,31.95,32.47,31.8,32.43,8135989
2017-02-08,32.45,33.41,32.28,33.25,17081163
2017-02-09,33.29,33.35,32.98,33.12,10465621
2017-02-10,33.11,33.84,33.06,33.63,13492272
2017-02-13,33.62,34.08,33.56,33.79,10744501
2017-02-14,33.61,33.96,33.57,33.63,7616370
2017-02-15,33.62,34.15,33.5,34.01,7994512
2017-02-16,33.84,34.14,33.46,33.54,8891838
2017-02-17,33.51,33.9,33.47,33.76,7797304
2017-02-21,33.76,34.23,33.76,33.92,7237496
2017-02-22,33.92,34.14,33.63,33.82,7068204
2017-02-23,33.78,33.93,33.54,33.6,6528369
2017-02-24,33.55,34.07,33.38,34.06,8098701
2017-02-27,34.05,34.3,33.82,34.28,7372977
2017-02-28,34.16,34.28,33.89,33.9,8105294
2017-03-01,34.11,34.43,34.1,34.27,5736123
2017-03-02,34.19,34.33,33.74,33.91,4698206
2017-03-03,33.86,33.87,33.39,33.74,6555859
2017-03-06,33.67,33.76,33.28,33.64,7728659
2017-03-07,33.71,33.83,33.4,33.47,6945534
2017-03-08,33.55,33.55,33.17,33.32,7871940
2017-03-09,33.27,33.35,33.02,33.18,5545782
2017-03-10,33.44,33.46,33.06,33.13,4977310
2017-03-13,33.13,33.22,32.74,32.81,10866190
2017-03-14,32.85,32.95,32.58,32.86,6829788
2017-03-15,33.02,33.17,32.56,32.89,9777759
2017-03-16,32.78,33.2,32.77,33.1,6925875
2017-03-17,33.3,33.84,33.16,33.7,15941347
2017-03-20,33.68,34.03,33.45,33.81,7319606
2017-03-21,33.92,33.99,33.05,33.19,8918477
2017-03-22,33.26,33.67,33.17,33.53,5486131
2017-03-23,33.45,33.78,33.33,33.52,4833913
2017-03-24,33.66,33.67,33.22,33.4,4317756
2017-03-27,33.16,33.49,32.84,33.43,4994550
2017-03-28,33.4,33.66,33.3,33.53,4609929
2017-03-29,33.62,33.78,33.43,33.65,7242686
2017-03-30,33.65,33.8,33.54,33.7,4993386
2017-03-31,33.5,33.95,33.45,33.57,10222995
2017-04-03,33.37,33.91,33.32,33.76,9828733
2017-04-04,33.76,34.26,33.68,34.14,8679948
2017-04-05,34.22,34.74,33.78,33.81,11241858
2017-04-06,34.01,34.32,33.84,34.16,8854889
2017-04-07,34.11,34.22,33.8,33.91,6644491
