Date,Open,High,Low,Close,Volume
2017-01-03,77.99,78.02,76.97,77.32,517304
2017-01-04,77.49,78.0,77.27,77.75,728629
2017-01-05,77.95,78.59,77.09,78.39,1230752
2017-01-06,78.13,78.8,77.8,78.49,724940
2017-01-09,78.54,78.8,77.18,77.23,464478
2017-01-10,77.34,77.74,76.84,77.13,899755
2017-01-11,76.92,77.86,76.92,77.72,549618
2017-01-12,77.63,78.3,77.14,77.5,641763
2017-01-13,77.37,77.6,76.88,77.26,418831
2017-01-17,77.83,78.4,77.5,78.0,577351
2017-01-18,77.96,78.29,77.43,77.89,315838
2017-01-19,76.85,77.88,76.85,77.05,377954
2017-01-20,77.19,77.71,76.64,77.02,612928
2017-01-23,77.2,77.41,76.99,77.2,521828
2017-01-24,77.35,77.74,76.86,77.44,607493
2017-01-25,77.15,77.47,76.85,77.14,482684
2017-01-26,77.07,77.63,76.6,76.98,387142
2017-01-27,77.06,77.38,76.68,76.77,363057
2017-01-30,76.23,76.53,75.79,76.44,519476
2017-01-31,76.5,77.65,76.24,77.63,631005
2017-02-01,76.98,77.74,76.47,76.69,699151
2017-02-02,76.73,77.98,76.73,77.79,1004716
2017-02-03,78.02,78.46,77.84,78.03,833013
2017-02-06,78.25,78.49,77.8,77.85,341862
2017-02-07,77.87,78.31,77.66,77.92,279667
2017-02-08,78.0,78.87,78.0,78.57,390247
2017-02-09,78.45,78.93,78.04,78.13,416152
2017-02-10,77.78,78.73,77.78,78.67,258544
2017-02-13,78.65,78.91,78.17,78.72,315360
2017-02-14,78.61,78.61,77.57,78.09,469279
2017-02-15,77.52,78.0,76.89,78.0,1172678
2017-02-16,78.0,78.56,77.8,78.55,489298
2017-02-17,78.7,78.83,78.09,78.7,412907
2017-02-21,78.37,79.91,78.32,79.77,395361
2017-02-22,79.65,79.93,79.21,79.72,382297
2017-02-23,80.0,80.87,79.8,80.5,551202
2017-02-24,80.8,81.84,80.63,81.44,820868
2017-02-27,81.45,81.51,81.03,81.18,543005
2017-02-28,81.13,82.5,81.08,82.19,1029127
2017-03-01,81.37,82.56,80.76,82.4,1420526
2017-03-02,82.2,83.77,81.92,83.32,1144622
2017-03-03,83.47,83.47,82.35,83.03,701965
2017-03-06,82.89,83.44,82.7,82.96,700986
2017-03-07,82.52,83.09,82.23,82.54,763269
2017-03-08,81.62,81.99,80.78,80.94,850591
2017-03-09,80.78,81.41,80.6,80.87,475505
2017-03-10,81.46,81.68,81.0,81.61,424218
2017-03-13,81.54,81.84,81.34,81.68,432860
2017-03-14,81.62,81.92,81.3,81.88,606308
2017-03-15,82.07,83.92,81.79,83.6,629439
2017-03-16,83.37,83.38,82.36,82.55,850284
2017-03-17,82.88,83.71,82.73,83.23,942322
2017-03-20,83.35,83.66,82.23,82.53,606837
2017-03-21,82.54,83.78,82.42,83.69,650364
2017-03-22,84.0,84.43,83.49,83.66,507340
2017-03-23,83.6,84.44,83.09,83.59,359699
2017-03-24,83.58,84.48,83.49,84.12,415776
2017-03-27,84.53,84.72,83.67,84.14,606834
2017-03-28,83.95,84.41,83.77,84.2,441671
2017-03-29,84.0,84.0,83.36,83.52,622141
2017-03-30,83.39,83.62,82.84,83.28,402884
2017-03-31,83.23,83.87,83.0,83.38,584786
2017-04-03,83.41,83.54,82.62,83.51,497812
2017-04-04,83.3,84.0,83.1,83.74,489443
2017-04-05,83.74,84.15,83.42,84.02,756693
2017-04-06,83.74,84.66,83.38,84.48,899629
2017-04-07,84.66,85.0,84.1,84.26,1087844
2017-04-10,84.34,84.91,83.98,84.78,690358
2017-04-11,84.36,85.15,84.18,84.79,656186
2017-04-12,84.79,85.5,84.35,85.37,886262
2017-04-13,85.39,85.53,84.28,85.23,690301
2017-04-17,85.49,85.8,85.26,85.74,801411
2017-04-18,85.81,86.25,85.7,86.18,917664
2017-04-19,86.14,86.25,85.16,85.61,870706
2017-04-20,85.47,85.54,84.52,85.32,1489008
2017-04-21,85.27,85.92,85.27,85.83,937113
2017-04-24,85.86,86.21,85.19,86.18,882815
2017-04-25,85.84,86.41,85.39,86.36,980517
2017-04-26,86.16,86.63,85.9,86.25,717914
2017-04-27,85.37,86.35,85.37,86.1,685467
2017-04-28,85.91,86.06,84.72,85.09,1284801
2017-05-01,85.11,85.2,83.81,84.06,1213950
2017-05-02,84.97,84.99,84.03,84.7,666040
2017-05-03,84.39,84.83,83.95,84.36,965018
2017-05-04,84.11,84.58,83.84,84.45,728944
2017-05-05,84.85,85.35,84.45,84.87,771477
2017-05-08,84.99,85.09,84.19,84.91,514689
2017-05-09,84.79,84.79,83.96,84.14,570320
2017-05-10,84.11,84.36,83.77,84.19,665200
2017-05-11,84.05,84.29,83.62,84.29,662987
2017-05-12,84.42,84.84,84.35,84.76,691742
2017-05-15,84.62,85.28,84.46,84.52,867432
2017-05-16,84.53,84.88,83.78,83.89,700758
2017-05-17,83.89,84.41,83.7,84.1,697916
2017-05-18,84.38,84.77,83.52,84.61,1140194
2017-05-19,84.64,84.82,83.93,84.57,868354
2017-05-22,84.41,85.39,84.05,85.15,710888
2017-05-23,85.3,86.37,85.0,85.78,585180
2017-05-24,85.83,86.63,85.83,86.44,670175
2017-05-25,86.55,87.62,86.24,87.46,723040
2017-05-26,87.42,87.8,87.24,87.4,524177
2017-05-30,87.4,87.78,87.23,87.72,758967
2017-05-31,87.88,88.65,87.83,88.35,930093
2017-06-01,88.3,89.05,87.91,89.03,602136
2017-06-02,89.56,89.56,88.85,89.22,343633
2017-06-05,89.23,89.23,88.32,88.36,465258
2017-06-06,88.59,88.6,87.92,87.96,748579
2017-06-07,88.12,88.43,87.77,88.06,829362
2017-06-08,88.09,88.09,87.12,87.85,722155
2017-06-09,87.78,88.25,87.28,87.99,884102
2017-06-12,87.99,88.39,86.77,87.45,525688
2017-06-13,87.44,87.67,86.92,87.5,645485
2017-06-14,88.26,88.73,87.76,88.06,851350
2017-06-15,87.99,88.68,87.65,88.64,572986
2017-06-16,88.46,89.06,88.35,88.92,1175176
2017-06-19,89.01,89.01,88.41,88.7,675495
2017-06-20,88.74,89.12,88.68,88.81,565868
2017-06-21,88.98,88.98,88.27,88.6,846857
