Date,Open,High,Low,Close,Volume
2017-01-03,44.38,44.74,44.06,44.44,2937875
2017-01-04,44.54,44.87,44.46,44.75,2161471
2017-01-05,44.75,45.24,44.56,45.05,2345008
2017-01-06,45.06,45.61,44.88,45.52,2930892
2017-01-09,45.73,46.22,45.49,46.17,4265789
2017-01-10,46.22,46.75,46.06,46.51,2990658
2017-01-11,46.62,47.01,46.51,46.99,3649783
2017-01-12,46.81,46.94,46.01,46.51,2511227
2017-01-13,46.59,46.83,46.34,46.45,1240147
2017-01-17,46.19,46.59,45.79,46.52,2570771
2017-01-18,46.6,46.97,46.39,46.77,2377241
2017-01-19,46.68,46.87,46.28,46.57,1928488
2017-01-20,46.7,47.4,46.2,46.23,3541177
2017-01-23,46.06,46.39,45.65,46.02,2700340
2017-01-24,45.97,46.0,45.47,45.85,1911475
2017-01-25,45.86,46.36,45.82,46.14,2662603
2017-01-26,45.96,46.32,45.53,46.05,2315376
2017-01-27,46.13,47.16,46.05,47.08,2349688
2017-01-30,46.99,47.01,46.5,46.9,2451124
2017-01-31,46.86,48.08,46.68,47.91,6331700
2017-02-01,48.68,49.29,46.85,48.1,6030488
2017-02-02,47.92,48.97,47.92,48.13,3928783
2017-02-03,48.37,48.88,48.34,48.63,2527326
2017-02-06,48.5,48.62,48.12,48.35,1893373
2017-02-07,48.48,48.68,48.34,48.59,1854379
2017-02-08,48.5,48.66,48.15,48.35,1883461
2017-02-09,48.45,49.03,48.4,48.93,2299506
2017-02-10,48.93,49.14,48.77,49.0,1398235
2017-02-13,49.04,49.44,48.88,49.23,1686008
2017-02-14,48.99,49.31,48.77,48.96,2737877
2017-02-15,48.59,49.58,48.58,49.44,2594462
2017-02-16,49.4,49.55,49.01,49.42,1640032
2017-02-17,49.32,49.74,49.3,49.73,2835843
2017-02-21,49.75,50.2,49.59,49.96,3427339
2017-02-22,49.81,50.22,49.8,50.06,1685007
2017-02-23,50.25,50.76,50.06,50.39,1828592
2017-02-24,50.28,50.58,50.23,50.49,2470009
2017-02-27,50.5,50.77,50.38,50.44,2445341
2017-02-28,50.41,51.4,50.37,50.92,6405743
2017-03-01,51.27,51.27,50.6,51.21,3649445
2017-03-02,51.17,51.17,50.6,50.77,2145611
2017-03-03,50.81,50.93,50.52,50.91,2582540
2017-03-06,50.61,50.99,50.51,50.68,5087230
2017-03-07,50.54,51.22,50.35,51.04,3717539
2017-03-08,51.08,51.43,50.76,51.36,4059518
2017-03-09,51.36,52.2,51.31,52.13,5026283
2017-03-10,52.28,52.33,51.76,52.01,2320992
2017-03-13,52.0,52.33,51.77,52.3,2410359
2017-03-14,52.09,52.18,51.86,51.9,1758001
2017-03-15,51.9,52.26,51.84,52.16,2914926
2017-03-16,52.04,52.15,51.21,51.43,2665512
2017-03-17,51.46,51.83,51.43,51.63,3494607
2017-03-20,51.64,51.71,51.17,51.19,2334990
2017-03-21,51.44,51.89,51.03,51.4,3180857
2017-03-22,51.29,51.98,51.15,51.79,3170595
2017-03-23,51.57,51.97,51.39,51.69,1348208
2017-03-24,51.72,52.19,51.58,52.02,2655479
2017-03-27,51.79,51.98,51.39,51.83,1568526
2017-03-28,51.75,51.99,51.57,51.89,2372702
2017-03-29,51.72,52.19,51.56,51.98,2500795
2017-03-30,51.86,52.31,51.68,52.25,2530953
2017-03-31,52.05,52.17,51.75,51.86,2198880
2017-04-03,51.91,52.3,51.57,52.29,2655105
2017-04-04,52.73,52.73,51.88,52.38,2817434
2017-04-05,52.55,53.18,52.38,52.55,2839784
2017-04-06,52.42,52.53,52.1,52.53,2552893
2017-04-07,52.46,52.89,52.37,52.79,3417469
2017-04-10,52.8,52.97,52.67,52.84,4972033
2017-04-11,52.94,53.03,52.65,52.97,2774515
2017-04-12,52.9,53.54,52.86,53.53,3741292
2017-04-13,53.36,53.49,53.08,53.25,3923786
2017-04-17,52.71,53.2,52.27,52.82,3764633
2017-04-18,52.71,53.23,52.6,52.73,2933651
2017-04-19,52.89,53.16,52.69,52.71,4242968
2017-04-20,52.65,52.94,52.38,52.89,2998283
2017-04-21,52.85,52.98,52.59,52.88,3217472
2017-04-24,53.43,53.71,53.32,53.45,2664036
2017-04-25,53.29,53.62,53.04,53.21,4410491
2017-04-26,54.0,55.61,53.75,55.59,7921690
2017-04-27,55.65,56.5,55.28,55.42,6411321
2017-04-28,55.55,55.88,55.31,55.68,3456634
2017-05-01,55.73,55.95,55.34,55.59,2548916
2017-05-02,55.81,55.91,55.54,55.68,2408872
2017-05-03,55.73,56.01,55.35,55.91,2838739
2017-05-04,55.93,56.05,55.59,55.96,1776176
2017-05-05,56.0,56.16,55.7,55.95,1760840
