Date,Open,High,Low,Close,Volume
2017-01-03,69.6,69.9,68.46,68.96,1942009
2017-01-04,67.8,69.14,67.71,68.67,2208860
2017-01-05,68.72,68.97,67.76,67.84,1491317
2017-01-06,68.11,68.61,67.72,68.3,1178469
2017-01-09,68.26,68.39,66.2,67.31,2795561
2017-01-10,67.47,68.0,67.46,67.6,1258793
2017-01-11,67.51,68.53,67.47,68.52,2437522
2017-01-12,68.66,69.21,67.8,69.15,1582338
2017-01-13,69.13,69.85,69.13,69.61,931765
2017-01-17,69.1,69.78,68.82,69.13,1224889
2017-01-18,69.41,69.97,69.22,69.82,1130029
2017-01-19,69.82,70.33,69.3,69.6,1050221
2017-01-20,69.84,70.26,69.41,69.92,1528355
2017-01-23,69.72,70.68,69.43,70.52,2798375
2017-01-24,70.78,72.71,70.58,71.68,3670944
2017-01-25,74.18,76.46,74.18,75.17,2854523
2017-01-26,75.29,75.55,74.59,74.73,2554235
2017-01-27,74.13,74.93,74.01,74.5,1379949
2017-01-30,74.12,74.28,72.72,74.26,1312392
2017-01-31,74.26,74.44,73.44,74.35,1455310
2017-02-01,74.91,75.13,73.65,74.62,1613900
2017-02-02,74.3,74.68,73.9,74.51,1333072
2017-02-03,74.65,75.48,74.65,75.38,1637775
2017-02-06,75.29,75.7,74.94,75.51,1860576
2017-02-07,75.95,76.49,75.62,75.71,2229407
2017-02-08,75.41,75.61,74.73,74.88,1654680
2017-02-09,75.21,75.69,75.14,75.31,2247196
2017-02-10,75.46,75.77,74.89,75.11,1914501
2017-02-13,75.29,75.76,75.22,75.44,1268763
2017-02-14,75.2,75.47,74.98,75.42,1302109
2017-02-15,75.51,76.14,75.24,75.58,1553857
2017-02-16,75.63,76.0,74.91,75.23,1461359
2017-02-17,75.03,75.21,74.47,75.21,1547593
2017-02-21,75.5,75.88,75.33,75.73,1386328
2017-02-22,75.38,75.55,74.74,75.27,1780126
2017-02-23,75.46,75.56,73.96,74.21,2011068
2017-02-24,74.0,74.3,73.64,74.3,2099045
2017-02-27,74.3,74.83,74.12,74.79,1112232
2017-02-28,74.74,74.86,74.17,74.47,1958467
2017-03-01,74.68,76.3,74.68,76.13,1825470
2017-03-02,76.0,76.27,75.36,75.53,1210702
2017-03-03,75.56,75.6,75.07,75.52,1362446
2017-03-06,74.74,74.79,73.48,74.16,2120382
2017-03-07,74.38,74.59,73.64,74.36,1553373
2017-03-08,74.46,74.81,74.3,74.55,1073063
2017-03-09,74.39,74.78,74.0,74.29,1091651
2017-03-10,74.12,75.11,74.12,74.61,1427878
2017-03-13,74.64,75.33,74.45,75.14,2137623
2017-03-14,74.8,74.96,74.09,74.83,903940
2017-03-15,75.5,76.73,75.33,76.53,1835323
2017-03-16,76.77,76.77,76.02,76.11,1041738
2017-03-17,76.38,76.38,75.75,76.13,1716957
2017-03-20,76.23,76.23,75.66,75.73,1489965
2017-03-21,76.02,76.19,73.51,73.6,2233348
2017-03-22,73.64,74.6,73.46,74.49,3167557
2017-03-23,74.4,75.2,74.04,74.42,2144432
2017-03-24,74.74,75.2,74.03,74.32,963770
2017-03-27,73.45,74.72,73.14,74.46,1417466
2017-03-28,74.34,75.37,74.05,75.03,1321667
2017-03-29,74.88,75.12,74.53,74.57,989362
2017-03-30,74.48,74.99,74.35,74.87,1427495
2017-03-31,74.64,74.87,74.44,74.55,1627623
2017-04-03,74.67,74.87,73.06,73.67,2065557
2017-04-04,73.61,73.86,73.1,73.45,1873175
2017-04-05,73.89,74.36,72.73,72.86,1537784
2017-04-06,72.92,73.52,72.51,73.11,1260185
2017-04-07,72.95,73.22,72.64,72.99,1254688
2017-04-10,72.93,73.86,72.91,73.5,1674150
2017-04-11,73.39,73.5,72.44,73.29,1189472
2017-04-12,73.0,73.15,72.21,72.42,1236145
2017-04-13,72.27,72.74,71.93,71.93,782394
2017-04-17,72.22,72.78,72.06,72.77,1096840
2017-04-18,72.52,73.21,72.44,73.08,1007419
2017-04-19,73.49,73.98,73.01,73.18,1060095
2017-04-20,73.51,74.34,73.14,74.12,978334
2017-04-21,73.54,73.84,72.95,73.61,2348244
2017-04-24,74.82,75.25,74.47,75.21,1898748
2017-04-25,74.77,75.8,74.75,75.6,2928688
2017-04-26,79.21,79.69,76.17,76.65,2649485
2017-04-27,77.42,77.91,76.75,76.99,1729985
2017-04-28,77.22,77.72,76.67,77.37,1416409
2017-05-01,77.72,77.72,76.5,76.7,1716457
2017-05-02,76.97,77.16,74.95,75.62,1945661
2017-05-03,75.48,75.84,74.8,75.07,1703551
2017-05-04,75.28,75.81,75.18,75.65,1106220
2017-05-05,75.95,76.85,75.12,75.45,1163250
2017-05-08,75.27,75.87,75.2,75.82,951636
2017-05-09,75.7,76.16,75.58,75.81,920891
2017-05-10,75.77,76.26,75.58,76.26,1104201
2017-05-11,75.81,76.49,75.49,76.47,1121610
2017-05-12,76.48,76.87,75.31,75.67,1646938
2017-05-15,75.94,76.56,75.64,75.99,1161288
2017-05-16,76.32,76.47,75.81,76.43,1394689
2017-05-17,75.45,75.57,73.89,73.95,1333293
2017-05-18,73.59,74.25,73.01,73.89,1316386
2017-05-19,74.43,75.06,74.14,74.67,1337275
2017-05-22,74.88,75.52,74.71,75.46,857495
2017-05-23,75.48,76.26,75.06,75.97,1200065
2017-05-24,75.9,76.9,75.8,76.85,1718312
2017-05-25,77.13,78.32,76.82,78.17,2077339
2017-05-26,77.93,78.32,77.68,78.01,1251855
2017-05-30,78.0,79.15,77.5,79.01,2500232
2017-05-31,79.14,79.5,78.62,78.85,2075782
2017-06-01,79.17,79.95,78.8,79.82,1692775
2017-06-02,79.94,79.95,79.41,79.47,1034939
2017-06-05,79.69,80.33,79.51,79.88,1370862
2017-06-06,79.35,79.63,79.03,79.43,1313247
2017-06-07,79.64,79.92,79.24,79.73,1716347
2017-06-08,79.91,80.28,79.1,79.95,1899393
2017-06-09,80.05,80.7,79.0,79.59,1343217
2017-06-12,79.22,79.42,77.65,78.34,1953181
2017-06-13,78.6,78.97,77.93,78.77,1497324
2017-06-14,79.0,79.34,78.22,78.71,853485
2017-06-15,78.17,79.09,78.0,78.84,1134942
2017-06-16,78.94,79.14,78.19,78.71,1610218
2017-06-19,79.09,80.1,78.73,80.03,1534223
2017-06-20,79.82,80.12,79.28,79.3,1078404
2017-06-21,79.48,79.92,78.82,78.97,1261029
2017-06-22,78.98,79.19,78.47,78.81,1826016
2017-06-23,78.9,79.24,78.59,78.77,1006722
2017-06-26,79.1,79.45,78.26,78.65,1214311
2017-06-27,78.58,78.97,77.95,77.95,1090598
2017-06-28,78.57,79.22,78.17,78.91,1259333
2017-06-29,78.96,79.16,77.58,78.09,1028412
2017-06-30,78.36,79.07,78.13,78.68,1772258
2017-07-03,78.98,79.18,78.09,78.15,1421114
2017-07-05,78.57,78.97,77.5,78.84,1398032
2017-07-06,78.2,78.75,77.91,78.24,2214729
2017-07-07,78.66,79.46,78.58,79.08,1691371
2017-07-10,79.0,79.58,78.88,79.43,1042144
2017-07-11,79.58,79.66,78.72,79.24,1427154
2017-07-12,79.84,81.38,79.51,81.19,1877122
2017-07-13,81.16,81.86,80.77,81.22,1404011
