Date,Open,High,Low,Close,Volume
2017-01-03,73.72,73.74,72.74,73.63,1699630
2017-01-04,73.72,74.2,73.3,73.56,1259634
2017-01-05,73.54,73.99,72.97,73.72,1802903
2017-01-06,73.29,74.02,73.17,73.94,914550
2017-01-09,74.1,74.1,72.71,72.76,1479541
2017-01-10,72.63,72.82,72.14,72.64,1124794
2017-01-11,72.63,73.17,72.41,73.03,1288780
2017-01-12,73.01,73.74,72.5,73.62,1493053
2017-01-13,73.44,73.65,73.04,73.6,1179908
2017-01-17,73.89,74.64,73.67,74.6,1601855
2017-01-18,74.28,74.83,74.12,74.43,1455509
2017-01-19,73.95,74.15,73.26,73.49,1395526
2017-01-20,73.41,73.8,72.79,73.08,2034753
2017-01-23,73.27,73.53,72.7,72.96,1527122
2017-01-24,72.82,73.11,72.54,72.79,1544060
2017-01-25,72.52,72.77,72.13,72.74,1990876
2017-01-26,72.51,73.52,72.51,73.02,1451321
2017-01-27,73.29,73.51,72.92,73.12,1488282
2017-01-30,73.34,73.56,72.81,73.26,1595132
2017-01-31,73.44,74.55,73.34,74.35,2990993
2017-02-01,73.82,74.02,73.05,73.33,1766300
2017-02-02,73.47,74.5,73.17,74.47,1488112
2017-02-03,74.5,74.7,73.94,74.2,2302110
2017-02-06,74.55,74.74,74.05,74.3,1758295
2017-02-07,74.31,74.6,74.16,74.51,831919
2017-02-08,74.62,75.31,74.62,75.25,1121570
2017-02-09,75.13,75.44,74.26,74.39,1801921
2017-02-10,74.29,74.96,74.18,74.75,1321745
2017-02-13,74.29,74.48,73.64,74.35,1695229
2017-02-14,74.14,74.3,73.39,73.69,1254320
2017-02-15,73.21,73.76,72.94,73.7,1616697
2017-02-16,73.68,74.49,73.53,74.29,2953033
2017-02-17,74.08,74.08,72.63,73.5,2768835
2017-02-21,73.5,74.68,73.22,74.52,1854693
2017-02-22,74.52,75.09,74.2,75.01,2410802
2017-02-23,75.29,75.99,75.07,75.91,1437973
2017-02-24,76.25,76.76,76.07,76.61,1609673
2017-02-27,76.61,76.71,76.19,76.47,1239032
2017-02-28,76.29,77.24,76.26,77.04,1727453
2017-03-01,75.91,76.91,75.59,76.18,1780827
2017-03-02,75.97,77.5,75.79,77.19,2164750
2017-03-03,77.31,77.31,76.19,76.67,1526816
2017-03-06,76.67,77.02,76.44,76.64,1328468
2017-03-07,76.49,76.86,76.39,76.64,1088239
2017-03-08,76.06,76.09,75.42,75.51,1202061
2017-03-09,75.64,76.0,75.11,75.13,1776885
2017-03-10,75.52,76.02,75.38,75.98,1145103
2017-03-13,75.98,76.28,75.79,76.28,1414078
2017-03-14,76.24,76.57,76.03,76.42,1203100
2017-03-15,76.67,78.11,76.49,77.64,1547168
2017-03-16,77.34,77.62,76.19,76.32,1892944
2017-03-17,76.53,77.09,76.4,76.68,2989075
2017-03-20,76.89,77.05,75.94,76.09,1060910
2017-03-21,76.1,77.57,76.05,77.34,1603010
2017-03-22,77.65,78.36,77.51,78.11,2040289
2017-03-23,78.0,78.68,77.66,77.89,1270856
2017-03-24,77.89,78.66,77.76,78.41,1130247
2017-03-27,78.52,78.98,78.14,78.55,1783756
2017-03-28,78.33,78.63,78.11,78.53,1241424
2017-03-29,78.27,78.48,77.75,78.18,1260838
2017-03-30,77.99,78.0,77.44,77.74,827069
2017-03-31,77.62,78.08,77.29,77.66,1300374
2017-04-03,77.75,77.83,77.14,77.83,2192057
2017-04-04,77.7,78.28,77.5,77.96,1130156
2017-04-05,77.86,78.6,77.59,78.53,1291287
2017-04-06,78.37,78.5,77.98,78.33,1011169
2017-04-07,78.69,78.76,77.8,77.82,1988464
2017-04-10,77.87,78.15,77.54,78.01,932937
2017-04-11,77.87,78.09,77.31,77.9,1733055
2017-04-12,77.63,78.59,77.44,78.58,2095645
2017-04-13,78.48,78.82,77.95,78.53,1578790
2017-04-17,78.61,78.87,78.47,78.87,1307294
2017-04-18,78.89,79.29,78.66,79.09,1549325
2017-04-19,78.89,79.07,78.57,78.78,1700804
2017-04-20,78.54,78.54,77.8,78.28,1836553
2017-04-21,78.24,79.27,78.22,79.09,2137338
2017-04-24,79.14,79.5,78.57,79.4,1744623
2017-04-25,79.0,79.48,78.87,79.4,1146037
2017-04-26,79.32,79.71,79.09,79.14,1099029
2017-04-27,79.17,80.1,79.02,79.58,1495313
2017-04-28,79.39,79.58,78.98,79.28,2890281
2017-05-01,79.3,79.45,78.77,78.85,1284325
2017-05-02,79.03,79.33,78.77,79.26,1386680
2017-05-03,79.25,79.35,78.71,78.76,1496544
2017-05-04,78.46,79.09,78.42,78.88,1598440
2017-05-05,79.43,80.21,79.01,79.81,1650299
2017-05-08,79.28,79.78,79.08,79.39,1168672
2017-05-09,79.28,79.37,78.69,78.81,1472413
2017-05-10,78.95,79.36,78.79,79.04,1490008
2017-05-11,79.0,79.48,78.72,79.46,1337795
2017-05-12,79.66,80.08,79.51,79.9,1282900
2017-05-15,79.36,79.69,79.07,79.61,1507408
2017-05-16,79.64,79.73,79.13,79.14,1288565
2017-05-17,79.39,79.87,78.96,79.36,1748109
