Date,Open,High,Low,Close,Volume
2017-01-03,115.52,116.07,114.64,115.08,2390713
2017-01-04,115.3,115.85,114.96,115.11,1830848
2017-01-05,115.0,115.98,114.85,115.17,1856238
2017-01-06,115.0,115.66,114.52,115.4,1766993
2017-01-09,115.0,115.19,114.5,114.77,1965231
2017-01-10,114.63,114.81,113.41,113.92,2892614
2017-01-11,113.64,114.47,113.64,114.18,2302714
2017-01-12,114.21,114.21,113.3,113.91,1917017
2017-01-13,114.2,114.6,114.03,114.24,1788059
2017-01-17,113.69,114.11,113.41,114.07,2474702
2017-01-18,114.37,115.45,114.02,114.96,2040741
2017-01-19,114.97,115.15,114.01,114.27,1847951
2017-01-20,114.44,115.0,114.32,114.96,2372903
2017-01-23,114.99,115.04,114.14,114.46,1689541
2017-01-24,114.6,116.26,114.15,116.05,2157169
2017-01-25,116.23,117.13,115.87,116.99,2045040
2017-01-26,116.97,117.36,116.54,116.93,1796389
2017-01-27,117.0,118.19,116.59,118.09,2284156
2017-01-30,117.91,117.92,116.26,117.03,2910274
2017-01-31,111.81,111.81,108.68,109.13,12755479
2017-02-01,107.79,108.55,103.23,105.35,14684612
2017-02-02,105.29,105.7,104.41,105.1,4353420
2017-02-03,105.7,107.2,105.32,106.95,4859749
2017-02-06,106.62,107.0,105.75,106.06,3444272
2017-02-07,106.38,106.49,105.31,105.69,3589511
2017-02-08,105.81,106.4,105.51,106.16,3398534
2017-02-09,106.21,107.01,106.02,106.46,2415983
2017-02-10,106.5,107.5,106.26,107.34,4012807
2017-02-13,107.66,108.53,107.53,108.5,3877734
2017-02-14,108.68,109.34,107.62,108.99,5878825
2017-02-15,108.87,109.17,108.28,109.02,2843007
2017-02-16,108.1,108.13,106.66,107.22,5150040
2017-02-17,106.96,107.04,106.41,106.9,2918957
2017-02-21,106.9,107.87,106.6,107.72,3822504
2017-02-22,105.44,106.83,105.24,105.62,5234438
2017-02-23,106.0,106.09,104.89,105.09,3976338
2017-02-24,104.86,106.19,104.77,106.18,2717389
2017-02-27,106.14,106.77,105.75,106.73,2776155
2017-02-28,106.68,106.99,105.48,105.76,3794023
2017-03-01,106.97,107.38,106.69,106.87,3386203
2017-03-02,106.99,106.99,105.86,105.95,2490864
2017-03-03,106.13,106.6,105.76,105.93,2732468
2017-03-06,105.52,106.37,105.23,106.1,2481871
2017-03-07,106.0,106.39,105.51,105.64,2186453
2017-03-08,105.64,106.11,105.24,105.73,2269931
2017-03-09,106.13,106.24,105.62,105.9,2301041
2017-03-10,106.27,106.85,105.75,106.73,2957149
2017-03-13,106.53,107.5,106.31,107.49,2644493
2017-03-14,107.19,107.42,106.44,106.83,2748905
2017-03-15,107.29,108.29,106.85,107.74,3253779
2017-03-16,107.8,107.92,107.29,107.8,2409354
2017-03-17,107.91,108.97,107.65,108.15,4412150
2017-03-20,108.05,108.2,106.93,107.12,2370885
2017-03-21,107.5,108.14,106.37,106.51,3088511
2017-03-22,106.96,107.17,105.88,106.52,2282185
2017-03-23,106.53,106.89,105.37,105.65,2414231
2017-03-24,105.69,105.84,104.8,105.05,2526873
2017-03-27,104.48,104.98,103.75,104.78,2148455
2017-03-28,104.72,106.52,104.5,106.19,3191558
2017-03-29,105.65,106.35,105.46,106.03,1889305
2017-03-30,105.81,106.84,105.35,106.66,1721627
2017-03-31,106.48,107.7,106.48,107.3,2478107
2017-04-03,107.66,107.73,106.08,106.4,2645891
2017-04-04,106.3,106.7,105.7,106.63,2138746
2017-04-05,106.94,107.78,106.54,106.74,2622852
2017-04-06,106.77,106.94,106.51,106.67,2824589
2017-04-07,106.31,106.6,104.91,104.99,3212232
2017-04-10,105.45,106.88,105.37,106.42,3687682
2017-04-11,106.15,106.16,105.23,105.75,3029394
2017-04-12,105.06,105.34,104.18,104.23,3035960
2017-04-13,104.18,104.56,103.7,103.74,2840947
2017-04-17,104.06,104.87,103.92,104.87,1723842
2017-04-18,104.52,104.74,103.56,104.1,3042310
2017-04-19,104.58,105.09,104.33,104.46,2047085
2017-04-20,104.75,105.74,104.57,105.53,2424747
2017-04-21,105.71,106.13,105.45,105.77,3040578
2017-04-24,106.75,107.23,106.28,106.97,2441542
2017-04-25,107.09,107.82,107.08,107.36,2626141
2017-04-26,107.23,108.59,106.96,107.62,4565640
2017-04-27,107.8,109.28,105.58,108.83,4672779
2017-04-28,109.0,109.3,107.08,107.46,3111976
2017-05-01,107.42,107.42,106.51,106.54,1976616
2017-05-02,106.61,107.12,106.56,106.92,1908751
2017-05-03,106.89,107.47,106.59,107.35,1908972
2017-05-04,107.41,107.83,106.6,107.05,1744255
2017-05-05,107.32,107.56,107.02,107.43,2221532
2017-05-08,107.36,107.59,106.73,107.52,2508577
2017-05-09,107.56,107.66,106.09,106.51,2336460
2017-05-10,106.07,106.13,104.77,105.1,3713127
2017-05-11,104.13,104.25,102.98,104.15,3076737
2017-05-12,103.8,104.31,103.65,104.13,2052281
2017-05-15,104.55,105.48,104.22,105.29,2592902
2017-05-16,105.29,105.36,103.92,104.5,2458332
2017-05-17,103.74,104.14,102.78,102.87,3073138
2017-05-18,102.94,103.64,102.12,103.19,2890778
2017-05-19,103.24,103.89,103.01,103.42,2361194
2017-05-22,103.35,104.04,103.1,103.78,1916008
2017-05-23,103.67,104.32,103.39,104.2,2099601
2017-05-24,103.82,104.81,103.73,104.72,1896817
2017-05-25,105.18,105.99,105.03,105.94,2391811
2017-05-26,105.81,106.09,105.53,105.87,1825963
2017-05-30,105.51,107.41,105.27,106.81,2400826
2017-05-31,107.1,107.19,105.33,105.97,5007276
2017-06-01,106.49,108.1,105.7,107.66,4832320
2017-06-02,107.74,108.88,106.97,107.67,4182767
2017-06-05,107.49,108.48,107.25,107.95,2619892
2017-06-06,107.83,107.94,107.35,107.43,2593850
2017-06-07,107.41,107.48,106.28,106.68,2442255
2017-06-08,106.64,107.18,106.22,106.75,2322051
2017-06-09,106.51,107.06,105.93,107.03,2834213
2017-06-12,107.29,108.95,107.2,108.94,3338155
2017-06-13,109.06,109.99,108.95,109.85,2507270
2017-06-14,109.93,110.23,109.06,109.39,2434292
2017-06-15,108.82,110.33,108.82,110.26,2311641
2017-06-16,110.56,111.08,110.03,110.59,4107588
2017-06-19,110.79,111.18,110.22,110.87,2150895
2017-06-20,110.85,110.87,109.58,109.61,2081024
2017-06-21,109.82,109.86,108.87,109.19,2796937
2017-06-22,108.76,109.55,108.68,109.07,1613613
2017-06-23,109.22,111.3,108.96,110.27,4352130
2017-06-26,110.66,111.55,110.51,111.01,2199684
2017-06-27,110.72,111.44,109.67,109.67,2154588
2017-06-28,110.39,110.88,109.6,110.08,2996373
2017-06-29,109.72,110.24,109.42,109.78,2208755
2017-06-30,110.21,111.01,109.75,110.59,2178072
2017-07-03,110.9,111.63,110.58,110.61,1288219
2017-07-05,110.57,111.15,110.24,110.52,1628693
2017-07-06,110.11,110.35,109.09,109.24,1637242
2017-07-07,109.44,110.62,109.16,110.36,1742740
2017-07-10,110.09,110.59,109.79,110.21,1698733
2017-07-11,110.25,110.37,109.56,110.07,1785892
2017-07-12,110.63,111.11,110.14,110.57,2195960
2017-07-13,110.42,111.58,110.18,111.16,2285933
