Date,Open,High,Low,Close,Volume
2017-01-03,270.72,274.62,270.29,274.54,890339
2017-01-04,275.08,277.53,274.73,276.4,632628
2017-01-05,273.63,277.29,271.98,276.18,831896
2017-01-06,275.98,280.34,275.66,278.99,777085
2017-01-09,278.98,279.48,277.23,278.76,671233
2017-01-10,277.46,279.22,276.14,278.88,877548
2017-01-11,277.61,284.32,277.61,283.76,841087
2017-01-12,281.94,284.23,280.16,283.54,649935
2017-01-13,283.76,285.32,280.8,285.1,580121
2017-01-17,284.57,285.72,282.46,284.36,740054
2017-01-18,284.72,287.36,283.17,286.96,787786
2017-01-19,286.86,287.99,281.45,283.09,1152955
2017-01-20,284.29,284.92,281.79,283.62,915944
2017-01-23,283.63,285.13,282.98,284.0,1065197
2017-01-24,284.41,285.9,280.54,280.77,1539544
2017-01-25,282.46,283.42,280.14,283.42,2351631
2017-01-26,301.56,308.93,298.5,305.0,3013917
2017-01-27,304.82,310.0,303.6,305.2,1501385
2017-01-30,304.65,306.75,302.31,304.83,1165154
2017-01-31,302.76,304.89,300.18,303.81,912695
2017-02-01,302.2,306.58,301.69,306.18,770505
2017-02-02,306.74,307.36,303.57,303.86,737904
2017-02-03,306.74,306.74,303.0,304.0,587658
2017-02-06,303.49,304.66,301.75,301.97,585555
2017-02-07,302.82,303.98,301.51,302.05,477347
2017-02-08,302.22,305.46,302.01,305.36,431634
2017-02-09,305.76,306.97,305.1,306.49,525413
2017-02-10,306.64,307.71,305.26,306.47,406804
2017-02-13,307.0,309.68,306.0,309.62,743937
2017-02-14,308.43,310.0,306.82,309.9,815645
2017-02-15,309.22,310.1,307.32,309.91,570327
2017-02-16,309.92,312.44,308.34,311.17,588858
2017-02-17,311.25,312.17,310.57,311.35,474456
2017-02-21,311.34,313.74,310.52,312.52,583154
2017-02-22,311.85,313.33,310.89,312.46,408944
2017-02-23,311.67,312.34,309.89,310.2,365180
2017-02-24,308.77,312.65,308.77,312.65,488089
2017-02-27,312.99,313.36,309.62,310.2,349447
2017-02-28,309.27,310.28,307.5,308.54,612256
2017-03-01,311.98,316.66,310.93,315.36,838249
2017-03-02,314.54,314.7,312.32,312.97,435631
2017-03-03,312.82,313.6,310.52,311.93,386863
2017-03-06,311.19,312.79,310.38,311.31,408390
2017-03-07,310.53,311.92,310.38,310.58,419569
2017-03-08,310.0,315.49,309.43,311.0,681798
2017-03-09,310.63,311.76,309.87,310.21,548398
2017-03-10,311.5,313.3,310.66,311.9,398872
2017-03-13,311.49,312.43,310.17,311.89,320482
2017-03-14,310.27,311.26,308.26,310.14,429418
2017-03-15,310.51,313.14,309.62,312.6,581799
2017-03-16,312.76,313.73,310.37,311.33,448253
2017-03-17,312.67,313.9,311.8,313.38,739374
2017-03-20,313.5,313.5,310.6,312.13,383000
2017-03-21,311.63,313.29,307.61,307.95,908652
2017-03-22,308.37,311.99,305.7,311.66,591300
2017-03-23,310.94,313.25,309.21,310.75,470881
2017-03-24,310.95,312.16,308.34,309.45,342682
2017-03-27,306.88,310.07,306.16,309.47,631771
2017-03-28,309.21,311.97,309.03,310.94,327763
2017-03-29,310.71,312.17,308.63,310.14,587853
2017-03-30,310.09,311.68,309.3,310.21,384109
2017-03-31,309.93,311.28,309.43,310.19,280126
2017-04-03,309.9,311.77,306.05,308.61,519771
2017-04-04,309.06,310.1,306.38,308.38,517263
2017-04-05,308.38,312.23,307.28,309.28,518526
2017-04-06,309.38,311.68,308.76,310.47,404902
2017-04-07,310.86,313.38,310.49,313.07,456067
2017-04-10,312.94,313.75,311.17,311.85,252993
2017-04-11,310.58,312.56,309.5,312.4,345171
2017-04-12,312.35,313.7,311.53,312.96,498483
2017-04-13,311.97,312.95,308.3,308.35,435672
2017-04-17,309.63,311.37,309.03,310.85,342347
2017-04-18,309.8,311.55,309.65,311.07,431753
2017-04-19,312.05,312.43,310.17,311.54,645815
2017-04-20,321.12,325.51,317.19,324.02,1621085
2017-04-21,323.44,325.17,322.09,324.6,769622
2017-04-24,328.93,329.64,325.38,327.73,669379
2017-04-25,330.0,331.43,328.02,331.18,534521
2017-04-26,330.83,331.97,328.0,330.94,613738
2017-04-27,331.24,336.38,330.0,335.57,589925
2017-04-28,337.47,338.0,333.04,334.68,715807
