Date,Open,High,Low,Close,Volume
2017-01-03,47.4,47.76,46.44,46.95,2834884
2017-01-04,47.14,47.45,46.91,47.17,2605049
2017-01-05,47.94,47.99,46.32,46.62,2552673
2017-01-06,46.64,46.91,46.22,46.51,2201092
2017-01-09,46.46,46.66,46.16,46.17,2311877
2017-01-10,46.23,46.62,46.1,46.51,1898336
2017-01-11,46.85,47.8,46.75,47.43,2737713
2017-01-12,47.77,48.16,47.16,48.0,3208868
2017-01-13,48.14,48.19,47.82,48.05,2315336
2017-01-17,47.94,48.48,47.53,48.26,3305814
2017-01-18,48.01,51.56,47.0,51.06,8410496
2017-01-19,50.86,51.3,50.48,50.55,3834449
2017-01-20,50.83,51.42,50.75,51.24,2789681
2017-01-23,51.21,51.44,50.72,50.98,2442049
2017-01-24,51.3,51.37,50.26,50.81,4292994
2017-01-25,51.01,51.51,50.57,50.79,4106923
2017-01-26,50.82,51.02,50.22,50.37,2460182
2017-01-27,50.41,50.41,49.93,50.17,2550059
2017-01-30,49.8,50.24,49.24,50.2,3462289
2017-01-31,50.11,50.21,49.31,49.68,2013444
2017-02-01,49.85,50.05,49.28,49.62,2059285
2017-02-02,49.28,49.5,48.69,49.0,2035349
2017-02-03,49.26,49.8,48.88,49.04,2533153
2017-02-06,49.45,51.18,49.45,50.39,3985271
2017-02-07,50.1,50.45,49.74,49.81,2782479
2017-02-08,49.74,49.98,49.42,49.82,1355633
2017-02-09,49.88,50.34,49.54,50.25,1194950
2017-02-10,50.44,50.69,50.04,50.34,1148434
2017-02-13,50.68,50.83,50.1,50.13,1096697
2017-02-14,49.97,50.51,49.86,50.39,1210897
2017-02-15,50.14,50.63,49.89,50.46,1470947
2017-02-16,50.45,50.61,49.93,50.61,1141557
2017-02-17,50.44,50.71,50.08,50.71,1683163
2017-02-21,50.62,50.9,50.4,50.87,1513799
2017-02-22,50.82,50.99,50.63,50.87,1170080
2017-02-23,51.07,51.24,49.66,49.79,1819470
2017-02-24,49.64,50.1,49.4,50.1,1310500
2017-02-27,50.16,50.4,50.02,50.35,1263206
2017-02-28,50.39,50.44,49.88,50.03,1666270
2017-03-01,50.56,51.17,50.51,50.98,2162988
2017-03-02,50.82,51.4,50.54,50.63,2209630
2017-03-03,50.65,51.86,50.57,51.8,2588343
2017-03-06,51.83,52.64,51.52,52.22,3852234
2017-03-07,52.12,52.47,51.25,51.37,2107816
2017-03-08,51.44,51.62,51.15,51.44,1530576
2017-03-09,51.42,51.84,49.94,50.18,2466859
2017-03-10,50.52,51.01,50.52,50.8,1735914
2017-03-13,50.67,51.43,50.29,51.4,1848636
2017-03-14,51.23,51.23,50.66,50.69,1436362
2017-03-15,50.97,51.8,50.77,51.61,1365224
2017-03-16,51.59,51.75,51.13,51.25,1465688
2017-03-17,51.54,51.99,51.07,51.87,2894983
2017-03-20,51.78,52.0,51.47,51.8,1570606
2017-03-21,51.86,52.07,50.92,51.16,2198829
2017-03-22,51.33,51.9,50.99,51.72,1668103
2017-03-23,51.62,51.83,50.98,51.01,1681460
2017-03-24,51.15,51.44,50.49,50.76,1449570
2017-03-27,50.11,50.25,49.51,50.04,2340808
2017-03-28,49.98,51.01,49.7,50.88,1647094
2017-03-29,50.75,51.38,50.5,51.22,2099881
2017-03-30,51.16,51.36,50.8,51.32,1079316
2017-03-31,51.24,51.78,50.91,51.5,1909846
2017-04-03,51.18,51.98,50.75,51.33,2432172
2017-04-04,51.16,51.95,51.03,51.76,2052339
2017-04-05,52.08,52.74,51.6,51.71,2576155
2017-04-06,51.72,51.75,50.84,50.95,2859311
2017-04-07,51.0,51.13,50.05,50.23,3065870
