Date,Open,High,Low,Close,Volume
2017-01-03,71.76,71.96,71.07,71.75,1971714
2017-01-04,71.94,72.6,71.78,72.36,1790734
2017-01-05,72.48,72.73,71.73,72.1,2270260
2017-01-06,71.82,72.06,71.56,71.69,2066240
2017-01-09,71.91,72.08,70.93,71.02,1252296
2017-01-10,71.08,71.33,70.57,71.11,1258200
2017-01-11,71.07,72.31,71.07,72.13,1505503
2017-01-12,72.06,72.49,71.83,72.38,1176790
2017-01-13,72.24,72.49,71.61,72.1,979440
2017-01-17,72.41,72.89,72.29,72.51,1674231
2017-01-18,72.61,72.95,72.18,72.3,1173647
2017-01-19,72.1,72.55,71.54,71.72,1219056
2017-01-20,71.87,72.31,71.56,71.97,921218
2017-01-23,72.08,72.16,71.63,71.82,1037246
2017-01-24,71.72,72.11,71.48,72.0,1522548
2017-01-25,71.75,71.99,71.55,71.73,861959
2017-01-26,71.8,72.27,71.59,71.96,1061808
2017-01-27,72.33,72.33,71.79,72.0,1047536
2017-01-30,72.29,72.29,71.35,71.93,993211
2017-01-31,72.06,72.9,71.73,72.88,2880851
2017-02-01,72.35,72.58,71.5,71.6,1413381
2017-02-02,71.77,72.65,71.48,72.61,1931944
2017-02-03,72.0,72.74,71.8,72.54,2098569
2017-02-06,72.83,73.16,72.39,72.75,1531841
2017-02-07,72.73,73.12,72.51,73.05,1800996
2017-02-08,73.7,75.09,73.59,74.83,3262019
2017-02-09,74.5,74.99,74.32,74.76,1849089
2017-02-10,74.24,75.23,74.11,75.21,1598283
2017-02-13,75.2,75.64,74.98,75.56,1242354
2017-02-14,75.57,75.62,74.84,75.39,1483399
2017-02-15,74.83,75.1,74.26,74.98,1890731
2017-02-16,75.13,75.82,75.1,75.79,1254405
2017-02-17,75.82,76.43,75.82,76.34,1985051
2017-02-21,76.04,77.35,75.91,77.22,1852902
2017-02-22,77.5,77.64,76.51,77.19,3380025
2017-02-23,77.57,78.04,77.39,77.9,1750856
2017-02-24,78.13,78.94,78.05,78.87,1926233
2017-02-27,78.93,79.21,78.48,79.0,1530387
2017-02-28,79.03,79.94,78.94,79.74,2506822
2017-03-01,78.92,79.98,78.45,79.38,2709993
2017-03-02,78.94,80.61,78.89,79.92,2041799
2017-03-03,79.86,79.99,78.87,79.49,1821319
2017-03-06,79.4,79.61,79.1,79.35,1568196
2017-03-07,79.3,79.62,79.13,79.25,1820622
2017-03-08,78.76,78.76,77.95,78.12,1868901
2017-03-09,78.15,78.54,77.93,78.0,1631299
2017-03-10,78.51,78.98,78.2,78.81,1586901
2017-03-13,78.75,79.2,78.6,79.08,1234229
2017-03-14,78.72,78.72,77.88,78.42,3502906
2017-03-15,78.78,80.04,78.52,79.81,2573806
2017-03-16,79.5,79.61,78.9,79.18,1609994
2017-03-17,79.26,79.91,79.14,79.6,3897614
2017-03-20,79.7,79.86,78.54,78.8,1691342
2017-03-21,78.65,79.81,78.53,79.56,1786080
2017-03-22,79.9,80.53,79.6,79.86,1867947
2017-03-23,79.74,80.54,79.54,80.19,1971505
2017-03-24,79.99,80.99,79.95,80.71,1266530
2017-03-27,80.98,81.34,80.16,80.5,1334370
2017-03-28,80.31,80.98,80.01,80.9,1421260
2017-03-29,80.15,80.2,79.55,79.82,1669331
2017-03-30,79.62,79.76,79.15,79.49,991771
2017-03-31,79.43,80.07,79.43,79.61,1217408
2017-04-03,79.62,79.95,78.85,79.95,2214742
2017-04-04,79.86,80.32,79.62,79.97,1550453
2017-04-05,79.95,80.68,79.62,80.59,1613630
2017-04-06,80.31,80.8,80.03,80.46,2141175
2017-04-07,80.62,80.86,80.23,80.25,2044357
2017-04-10,80.23,80.25,79.7,80.08,1288222
2017-04-11,80.01,80.19,79.61,79.99,1318106
2017-04-12,79.67,80.85,79.52,80.8,1105129
2017-04-13,80.55,80.79,80.06,80.31,1257543
2017-04-17,80.57,80.85,80.37,80.67,1414897
2017-04-18,80.71,81.19,80.6,80.87,1459021
2017-04-19,80.93,81.0,80.4,80.62,1285337
2017-04-20,80.45,80.45,79.8,80.31,1036858
2017-04-21,80.25,80.82,80.17,80.6,1617551
2017-04-24,80.52,81.06,80.0,80.94,1539209
2017-04-25,80.62,81.06,80.41,80.82,1387429
2017-04-26,80.83,80.94,80.07,80.19,1876362
2017-04-27,80.29,80.96,80.17,80.35,1708132
2017-04-28,80.36,80.7,79.84,79.97,1604085
2017-05-01,80.14,80.14,79.15,79.24,1541266
2017-05-02,80.43,80.55,78.78,79.11,1497880
2017-05-03,79.03,79.27,78.73,78.82,1144770
2017-05-04,78.67,79.85,78.57,79.78,1712307
2017-05-05,80.0,80.1,79.39,79.7,1364214
2017-05-08,79.93,79.93,79.15,79.6,968024
2017-05-09,79.46,79.97,79.22,79.53,1312823
2017-05-10,79.59,79.93,78.41,79.04,2262965
2017-05-11,78.84,78.85,77.69,78.57,2609683
2017-05-12,78.62,78.97,78.48,78.78,1530724
2017-05-15,78.68,79.15,78.5,78.72,1760506
2017-05-16,78.76,78.99,77.87,77.87,1656674
2017-05-17,77.78,78.15,77.21,77.59,2195121
2017-05-18,77.82,78.46,77.43,77.96,1571551
2017-05-19,77.96,78.24,77.39,78.2,2151758
2017-05-22,77.92,79.08,77.92,78.91,1702270
2017-05-23,78.85,79.56,78.71,78.82,1358075
2017-05-24,79.02,79.34,78.89,79.22,1106292
2017-05-25,79.17,80.1,78.98,79.95,789522
2017-05-26,79.86,80.24,79.75,79.96,775774
2017-05-30,79.89,80.8,79.84,80.67,1357800
2017-05-31,80.62,81.72,80.62,81.57,2596064
2017-06-01,81.31,82.15,81.04,82.15,1934301
2017-06-02,82.69,82.82,81.57,82.01,1810359
2017-06-05,81.82,82.19,81.68,81.84,1509036
2017-06-06,81.98,82.27,81.43,81.51,1394491
2017-06-07,81.53,82.02,81.46,81.83,1376855
2017-06-08,81.73,81.74,80.59,81.42,1413044
2017-06-09,81.2,81.44,80.48,81.29,1829072
2017-06-12,81.26,81.32,79.72,80.43,2125129
2017-06-13,80.21,80.35,79.76,80.3,1381586
2017-06-14,80.96,81.48,80.4,80.88,1703729
2017-06-15,80.83,82.05,80.71,81.98,1940729
2017-06-16,82.26,82.59,81.9,82.18,2479144
2017-06-19,82.33,82.34,81.61,81.9,1203774
2017-06-20,81.93,82.28,81.76,81.78,1048826
2017-06-21,81.89,82.06,81.2,81.45,1260735
2017-06-22,81.28,81.75,80.84,80.89,1013630
2017-06-23,80.86,81.08,79.82,80.03,2122748
2017-06-26,80.05,80.97,79.93,80.47,1576069
2017-06-27,80.12,80.38,79.05,79.06,2260534
2017-06-28,78.85,79.01,78.03,78.09,1829376
2017-06-29,77.81,78.48,77.26,78.16,2909225
2017-06-30,78.32,78.98,78.19,78.19,2024650
2017-07-03,78.4,78.46,77.18,77.18,963322
2017-07-05,77.23,77.58,76.64,76.89,1577290
2017-07-06,76.67,76.84,76.44,76.67,1053753
2017-07-07,76.67,77.22,76.57,76.83,953618
